homolog_group	Halogeometricum_borinquense_strain_wsp4	Halobonum_sp_NJ-3-1	ga0207718_100100	jgi12330j12834_1000008	Natrinema_altunense_strain_AJ2	Halovivax_sp_KZCA124	Haloterrigena_sp_SYSU_A121-1	Haloplanus_natans_DSM_17983	Haloferax_sp_Q22	ga0207719_100190	ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_12.faa	.	.	.	.	.	ORF_1696_Halovivax_sp_KZCA124	ORF_1594_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_12.faa	.	.	.	.	.	ORF_642_Halovivax_sp_KZCA124	ORF_1220_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_12.faa	.	.	.	.	.	ORF_2063_Halovivax_sp_KZCA124	ORF_1220_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_12.faa	.	.	.	.	.	ORF_1696_Halovivax_sp_KZCA124	ORF_1220_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/84018_Ga0207718_100100_2070_expanded.faa	.	.	ORF_2070_ga0207718_100100	ORF_2152_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36588_DQXS01000079.1_317_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/60477_ATYM01000002_1814_expanded.faa	.	ORF_2601_Halobonum_sp_NJ-3-1	.	.	.	.	.	ORF_1814_Haloplanus_natans_DSM_17983	.	ORF_910_ga0207719_100190	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37946_DRYJ01000053.1_468_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/75133_Ga0172379_10000243_2138_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34029_QNDS01000002.1_68_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36591_DQXS01000079.1_320_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_20.faa	.	ORF_3720_Halobonum_sp_NJ-3-1	ORF_2717_ga0207718_100100	ORF_2924_jgi12330j12834_1000008	.	.	ORF_2811_Haloterrigena_sp_SYSU_A121-1	ORF_1260_Haloplanus_natans_DSM_17983	ORF_734_Haloferax_sp_Q22	ORF_352_ga0207719_100190	ORF_729_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_20.faa	.	ORF_39_Halobonum_sp_NJ-3-1	ORF_2717_ga0207718_100100	ORF_2924_jgi12330j12834_1000008	.	.	ORF_2811_Haloterrigena_sp_SYSU_A121-1	ORF_1260_Haloplanus_natans_DSM_17983	ORF_734_Haloferax_sp_Q22	ORF_352_ga0207719_100190	ORF_729_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/71282_Ga0172377_10000119_885_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/44441_LOEP01000012_351_expanded.faa	.	.	.	.	.	.	.	ORF_899_Haloplanus_natans_DSM_17983	ORF_351_Haloferax_sp_Q22	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/53252_CP058579_1810_expanded.faa	.	ORF_1810_Halobonum_sp_NJ-3-1	.	ORF_691_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/10196_CP010426.1_10196_expanded.faa	.	ORF_203_Halobonum_sp_NJ-3-1	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/33690_QNAN01000020.1_20_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/42018_NZ_CP071597.1_791_expanded.faa	.	ORF_1610_Halobonum_sp_NJ-3-1	.	.	.	ORF_791_Halovivax_sp_KZCA124	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/16193_CP010426.1_16193_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34194_QNDS01000002.1_233_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_2b.faa	ORF_1069_Halogeometricum_borinquense_strain_wsp4	.	.	.	ORF_1032_Natrinema_altunense_strain_AJ2	ORF_2638_Halovivax_sp_KZCA124	.	ORF_1376_Haloplanus_natans_DSM_17983	ORF_808_Haloferax_sp_Q22	ORF_441_ga0207719_100190	ORF_817_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34428_QNDS01000002.1_467_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34548_QNDS01000002.1_587_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34553_QNDS01000002.1_592_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34062_QNDS01000002.1_101_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91317_Ga0222658_1000332_184_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/82375_Ga0207718_100100_427_expanded.faa	.	.	ORF_427_ga0207718_100100	ORF_443_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37515_DRYJ01000053.1_37_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/19511_CP010426.1_19511_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34116_QNDS01000002.1_155_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_2f.faa	.	.	.	ORF_1669_jgi12330j12834_1000008	ORF_1358_Natrinema_altunense_strain_AJ2	.	.	.	ORF_871_Haloferax_sp_Q22	ORF_837_ga0207719_100190	ORF_12_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34439_QNDS01000002.1_478_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36571_DQXS01000079.1_300_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/35334_QNDS01000002.1_1373_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/42908_NZ_CP071597.1_1681_expanded.faa	.	.	.	.	ORF_2359_Natrinema_altunense_strain_AJ2	ORF_1681_Halovivax_sp_KZCA124	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/53221_CP058579_1779_expanded.faa	.	ORF_1779_Halobonum_sp_NJ-3-1	.	ORF_672_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/33021_LKMP01000007.1_947_expanded.faa	.	ORF_1741_Halobonum_sp_NJ-3-1	.	.	.	ORF_915_Halovivax_sp_KZCA124	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/41701_NZ_CP071597.1_474_expanded.faa	.	ORF_1323_Halobonum_sp_NJ-3-1	.	.	.	ORF_474_Halovivax_sp_KZCA124	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/83860_Ga0207718_100100_1912_expanded.faa	.	.	ORF_1912_ga0207718_100100	ORF_1975_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_2e.faa	.	ORF_255_Halobonum_sp_NJ-3-1	ORF_1952_ga0207718_100100	ORF_2044_jgi12330j12834_1000008	.	.	ORF_2798_Haloterrigena_sp_SYSU_A121-1	.	.	ORF_476_ga0207719_100190	ORF_851_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_2e.faa	.	ORF_4546_Halobonum_sp_NJ-3-1	ORF_1952_ga0207718_100100	ORF_2044_jgi12330j12834_1000008	.	.	ORF_2798_Haloterrigena_sp_SYSU_A121-1	.	.	ORF_476_ga0207719_100190	ORF_851_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/84155_Ga0207718_100100_2207_expanded.faa	.	.	ORF_2207_ga0207718_100100	ORF_2424_jgi12330j12834_1000008	ORF_2255_Natrinema_altunense_strain_AJ2	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/44419_LOEP01000012_329_expanded.faa	.	.	.	.	.	.	.	ORF_871_Haloplanus_natans_DSM_17983	ORF_329_Haloferax_sp_Q22	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_23.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/71288_Ga0172377_10000119_891_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/48400_JNCS01000001_2563_expanded.faa	.	.	.	.	ORF_2563_Natrinema_altunense_strain_AJ2	.	.	ORF_2268_Haloplanus_natans_DSM_17983	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/82267_Ga0207718_100100_319_expanded.faa	.	.	ORF_319_ga0207718_100100	ORF_385_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_3.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/71526_Ga0172377_10000119_1129_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/82354_Ga0207718_100100_406_expanded.faa	.	.	ORF_406_ga0207718_100100	ORF_429_jgi12330j12834_1000008	ORF_316_Natrinema_altunense_strain_AJ2	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/46412_JNCS01000001_575_expanded.faa	.	.	.	.	ORF_575_Natrinema_altunense_strain_AJ2	.	.	ORF_662_Haloplanus_natans_DSM_17983	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34093_QNDS01000002.1_132_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36583_DQXS01000079.1_312_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/47658_JNCS01000001_1821_expanded.faa	.	.	ORF_987_ga0207718_100100	ORF_1220_jgi12330j12834_1000008	ORF_1821_Natrinema_altunense_strain_AJ2	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_14.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/71594_Ga0172377_10000119_1197_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91345_Ga0222658_1000332_212_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36510_DQXS01000079.1_239_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_2h.faa	ORF_1285_Halogeometricum_borinquense_strain_wsp4	.	ORF_2135_ga0207718_100100	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/44027_NZ_CP071597.1_2800_expanded.faa	.	ORF_1209_Halobonum_sp_NJ-3-1	.	.	.	ORF_2800_Halovivax_sp_KZCA124	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/84146_Ga0207718_100100_2198_expanded.faa	.	.	ORF_2198_ga0207718_100100	ORF_2415_jgi12330j12834_1000008	ORF_2250_Natrinema_altunense_strain_AJ2	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/44905_LOEP01000012_815_expanded.faa	.	.	.	.	.	.	.	ORF_1408_Haloplanus_natans_DSM_17983	ORF_815_Haloferax_sp_Q22	ORF_447_ga0207719_100190	ORF_823_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/46341_JNCS01000001_504_expanded.faa	.	.	ORF_617_ga0207718_100100	ORF_645_jgi12330j12834_1000008	ORF_504_Natrinema_altunense_strain_AJ2	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/45253_LOEP01000012_1163_expanded.faa	ORF_1655_Halogeometricum_borinquense_strain_wsp4	.	.	.	.	.	.	ORF_2153_Haloplanus_natans_DSM_17983	ORF_1163_Haloferax_sp_Q22	ORF_1180_ga0207719_100190	ORF_336_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34047_QNDS01000002.1_86_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/83645_Ga0207718_100100_1697_expanded.faa	.	.	ORF_1697_ga0207718_100100	ORF_2433_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/43027_NZ_CP071597.1_1800_expanded.faa	ORF_372_Halogeometricum_borinquense_strain_wsp4	ORF_2780_Halobonum_sp_NJ-3-1	.	.	.	ORF_1800_Halovivax_sp_KZCA124	ORF_1643_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_17b.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91297_Ga0222658_1000332_164_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91184_Ga0222658_1000332_51_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37509_DRYJ01000053.1_31_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/35326_QNDS01000002.1_1365_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34259_QNDS01000002.1_298_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/50067_JABURA010000001_1496_expanded.faa	.	ORF_1591_Halobonum_sp_NJ-3-1	.	.	.	.	ORF_1496_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37924_DRYJ01000053.1_446_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36624_DQXS01000079.1_353_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/47706_JNCS01000001_1869_expanded.faa	.	.	.	ORF_2117_jgi12330j12834_1000008	ORF_1869_Natrinema_altunense_strain_AJ2	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/57534_CP048739_1303_expanded.faa	ORF_1303_Halogeometricum_borinquense_strain_wsp4	.	ORF_2151_ga0207718_100100	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/72765_Ga0172377_10000119_2368_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37490_DRYJ01000053.1_12_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/48377_JNCS01000001_2540_expanded.faa	.	.	ORF_2568_ga0207718_100100	ORF_2758_jgi12330j12834_1000008	ORF_2540_Natrinema_altunense_strain_AJ2	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36620_DQXS01000079.1_349_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37540_DRYJ01000053.1_62_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/35360_QNDS01000002.1_1399_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36613_DQXS01000079.1_342_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37968_DRYJ01000053.1_490_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91292_Ga0222658_1000332_159_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91194_Ga0222658_1000332_61_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/45204_LOEP01000012_1114_expanded.faa	.	.	.	.	.	.	.	ORF_2105_Haloplanus_natans_DSM_17983	ORF_1114_Haloferax_sp_Q22	ORF_1124_ga0207719_100190	ORF_280_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/2409_CP010426.1_2409_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/53178_CP058579_1736_expanded.faa	ORF_2008_Halogeometricum_borinquense_strain_wsp4	ORF_1736_Halobonum_sp_NJ-3-1	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/9663_CP010426.1_9663_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/31041_CP010426.1_31041_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37811_DRYJ01000053.1_333_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/84204_Ga0207718_100100_2256_expanded.faa	.	.	ORF_2256_ga0207718_100100	ORF_2473_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/33744_QNAN01000020.1_74_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/71345_Ga0172377_10000119_948_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/37801_DRYJ01000053.1_323_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/12736_CP010426.1_12736_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_2c.faa	ORF_1023_Halogeometricum_borinquense_strain_wsp4	.	.	.	.	ORF_2599_Halovivax_sp_KZCA124	.	ORF_1350_Haloplanus_natans_DSM_17983	ORF_783_Haloferax_sp_Q22	ORF_412_ga0207719_100190	ORF_789_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/64190_Ga0075122_10000557_25_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/85783_Ga0207719_100190_1101_expanded.faa	.	.	.	.	.	.	.	.	ORF_1094_Haloferax_sp_Q22	ORF_1101_ga0207719_100190	ORF_257_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91349_Ga0222658_1000332_216_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34034_QNDS01000002.1_73_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/34147_QNDS01000002.1_186_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/71319_Ga0172377_10000119_922_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
