genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.69				dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	4.2.1.46	dTDP-glucose 4,6-dehydratase	01055	Biosynthesis of vancomycin group antibiotics
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.70				dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	1.1.1.133	dTDP-4-dehydrorhamnose reductase	00521	Streptomycin biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.70				dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	1.1.1.133	dTDP-4-dehydrorhamnose reductase	00523	Polyketide sugar unit biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.71				Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	2.7.7.24	Glucose-1-phosphate thymidylyltransferase	00521	Streptomycin biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.71				Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	2.7.7.24	Glucose-1-phosphate thymidylyltransferase	00523	Polyketide sugar unit biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.72				dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase	00521	Streptomycin biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.72				dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase	00523	Polyketide sugar unit biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.74				D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.1.1.95	Phosphoglycerate dehydrogenase	00260	Glycine, serine and threonine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.74				D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.1.1.95	Phosphoglycerate dehydrogenase	00680	Methane metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.76				3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase	00540	Lipopolysaccharide biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.144				Cobalamin synthase (EC 2.7.8.26)	2.7.8.26	Adenosylcobinamide-GDP ribazoletransferase	00860	Porphyrin and chlorophyll metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.145				Adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	6.3.1.10	Adenosylcobinamide-phosphate synthase	00860	Porphyrin and chlorophyll metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.164				Serine/threonine-protein kinase RIO2 (EC 2.7.11.1)	2.7.11.1	Non-specific serine/threonine protein kinase	04150	mTOR signaling pathway
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.174				Phosphoglucosamine mutase (EC 5.4.2.10)	5.4.2.10	Phosphoglucosamine mutase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.206				Cysteine desulfurase (EC 2.8.1.7)	2.8.1.7	Cysteine desulfurase	00730	Thiamine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.218				5-nucleotidase SurE (EC 3.1.3.5)	3.1.3.5	5'-nucleotidase	00230	Purine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.218				5-nucleotidase SurE (EC 3.1.3.5)	3.1.3.5	5'-nucleotidase	00240	Pyrimidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.218				5-nucleotidase SurE (EC 3.1.3.5)	3.1.3.5	5'-nucleotidase	00760	Nicotinate and nicotinamide metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.228				UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronic acid 2-epimerase (EC 5.1.3.23)	5.1.3.23	UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.237				Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	6.3.5.4	Asparagine synthase (glutamine-hydrolyzing)	00250	Alanine, aspartate and glutamate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.237				Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	6.3.5.4	Asparagine synthase (glutamine-hydrolyzing)	00910	Nitrogen metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00250	Alanine, aspartate and glutamate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00270	Cysteine and methionine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00330	Arginine and proline metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00350	Tyrosine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00360	Phenylalanine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00401	Novobiocin biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00710	Carbon fixation in photosynthetic organisms
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00950	Isoquinoline alkaloid biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.278				Aspartate aminotransferase (EC 2.6.1.1)	2.6.1.1	Aspartate transaminase	00960	Tropane, piperidine and pyridine alkaloid biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.279				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00010	Glycolysis / Gluconeogenesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.279				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00620	Pyruvate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.279				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00640	Propanoate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.279				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00680	Methane metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.279				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00720	Reductive carboxylate cycle (CO2 fixation)
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.281				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00010	Glycolysis / Gluconeogenesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.281				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00620	Pyruvate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.281				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00640	Propanoate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.281				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00680	Methane metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.281				Acetyl-CoA synthetase (EC 6.2.1.1)	6.2.1.1	Acetate--CoA ligase	00720	Reductive carboxylate cycle (CO2 fixation)
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.287				Chitinase (EC 3.2.1.14)	3.2.1.14	Chitinase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.347				N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	2.3.1.157	Glucosamine-1-phosphate N-acetyltransferase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.347				N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	2.7.7.23	UDP-N-acetylglucosamine diphosphorylase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.348				UDP-N-acetyl-D-glucosamine 6-dehydrogenase (EC 1.1.1.136)	1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.349				UDP-N-acetyl-D-glucosamine 6-dehydrogenase (EC 1.1.1.136)	1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.373				1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase	00561	Glycerolipid metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.373				1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase	00564	Glycerophospholipid metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.411				Glucoamylase (EC 3.2.1.3)	3.2.1.3	Glucan 1,4-alpha-glucosidase	00500	Starch and sucrose metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.428				2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	00030	Pentose phosphate pathway
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.428				2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	00040	Pentose and glucuronate interconversions
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.437				Aconitate hydratase (EC 4.2.1.3)	4.2.1.3	Aconitate hydratase	00020	Citrate cycle (TCA cycle)
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.437				Aconitate hydratase (EC 4.2.1.3)	4.2.1.3	Aconitate hydratase	00630	Glyoxylate and dicarboxylate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.437				Aconitate hydratase (EC 4.2.1.3)	4.2.1.3	Aconitate hydratase	00720	Reductive carboxylate cycle (CO2 fixation)
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.443				Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)	1.16.3.1	Ferroxidase	00860	Porphyrin and chlorophyll metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.456				UDP-glucose 4-epimerase (EC 5.1.3.2)	5.1.3.2	UDP-glucose 4-epimerase	00052	Galactose metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.456				UDP-glucose 4-epimerase (EC 5.1.3.2)	5.1.3.2	UDP-glucose 4-epimerase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.460				Creatinine amidohydrolase (EC 3.5.2.10)	3.5.2.10	Creatininase	00330	Arginine and proline metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.484				Coenzyme gamma-F420-2:L-glutamate ligase (EC 6.3.2.32)	6.3.2.32	Coenzyme gamma-F420-2:alpha-L-glutamate ligase	00680	Methane metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.486				NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	00010	Glycolysis / Gluconeogenesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.487				Phosphoglycerate kinase (EC 2.7.2.3)	2.7.2.3	Phosphoglycerate kinase	00010	Glycolysis / Gluconeogenesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.487				Phosphoglycerate kinase (EC 2.7.2.3)	2.7.2.3	Phosphoglycerate kinase	00710	Carbon fixation in photosynthetic organisms
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.491				NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase, archaeal (EC 1.2.1.59)	1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)	00010	Glycolysis / Gluconeogenesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.491				NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase, archaeal (EC 1.2.1.59)	1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)	00710	Carbon fixation in photosynthetic organisms
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.503				Citrate synthase (si) (EC 2.3.3.1)	2.3.3.1	Citrate (Si)-synthase	00020	Citrate cycle (TCA cycle)
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.503				Citrate synthase (si) (EC 2.3.3.1)	2.3.3.1	Citrate (Si)-synthase	00630	Glyoxylate and dicarboxylate metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.506				Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.17	L-serine ammonia-lyase	00260	Glycine, serine and threonine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.506				Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.17	L-serine ammonia-lyase	00270	Cysteine and methionine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.506				Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.19	Threonine ammonia-lyase	00260	Glycine, serine and threonine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.506				Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.19	Threonine ammonia-lyase	00290	Valine, leucine and isoleucine biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.508				Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor	00965	Betalain biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.509				Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor	00965	Betalain biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.516				Ornithine cyclodeaminase (EC 4.3.1.12)	4.3.1.12	Ornithine cyclodeaminase	00330	Arginine and proline metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.518				Leucyl-tRNA synthetase (EC 6.1.1.4)	6.1.1.4	Leucine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.521				Prephenate dehydratase (EC 4.2.1.51)	4.2.1.51	Prephenate dehydratase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.536				Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	3.6.1.31	Phosphoribosyl-ATP diphosphatase	00340	Histidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.550				NAD kinase (EC 2.7.1.23)	2.7.1.23	NAD(+) kinase	00760	Nicotinate and nicotinamide metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.557				DNA helicase II( EC:3.6.1.- )	3.6.1.-	In phosphorous-containing anhydrides	00230	Purine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.557				DNA helicase II( EC:3.6.1.- )	3.6.1.-	In phosphorous-containing anhydrides	00790	Folate biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.562				Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	2.5.1.9	Riboflavin synthase	00740	Riboflavin metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.570				Hexokinase (EC 2.7.1.1)	2.7.1.1	Hexokinase	00010	Glycolysis / Gluconeogenesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.570				Hexokinase (EC 2.7.1.1)	2.7.1.1	Hexokinase	00051	Fructose and mannose metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.570				Hexokinase (EC 2.7.1.1)	2.7.1.1	Hexokinase	00052	Galactose metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.570				Hexokinase (EC 2.7.1.1)	2.7.1.1	Hexokinase	00500	Starch and sucrose metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.570				Hexokinase (EC 2.7.1.1)	2.7.1.1	Hexokinase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.570				Hexokinase (EC 2.7.1.1)	2.7.1.1	Hexokinase	00521	Streptomycin biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.617				Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	00260	Glycine, serine and threonine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.617				Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	00270	Cysteine and methionine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.617				Homoserine dehydrogenase (EC 1.1.1.3)	1.1.1.3	Homoserine dehydrogenase	00300	Lysine biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.627				DNA-directed RNA polymerase subunit A'' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.627				DNA-directed RNA polymerase subunit A'' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.628				DNA-directed RNA polymerase subunit A' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.628				DNA-directed RNA polymerase subunit A' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.629				DNA-directed RNA polymerase subunit B' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.629				DNA-directed RNA polymerase subunit B' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.630				DNA-directed RNA polymerase subunit B'' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.630				DNA-directed RNA polymerase subunit B'' (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.631				DNA-directed RNA polymerase subunit H (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.631				DNA-directed RNA polymerase subunit H (EC 2.7.7.6)	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.644				Orotate phosphoribosyltransferase (EC 2.4.2.10)	2.4.2.10	Orotate phosphoribosyltransferase	00240	Pyrimidine metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.644				Orotate phosphoribosyltransferase (EC 2.4.2.10)	2.4.2.10	Orotate phosphoribosyltransferase	00983	Drug metabolism - other enzymes
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.646				Phosphatidate cytidylyltransferase (EC 2.7.7.41)	2.7.7.41	Phosphatidate cytidylyltransferase	00564	Glycerophospholipid metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.646				Phosphatidate cytidylyltransferase (EC 2.7.7.41)	2.7.7.41	Phosphatidate cytidylyltransferase	04070	Phosphatidylinositol signaling system
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.647				Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	1.5.99.8	Transferred entry: 1.5.5.2	00330	Arginine and proline metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.649				Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2.6.1.42	Branched-chain-amino-acid transaminase	00280	Valine, leucine and isoleucine degradation
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.649				Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2.6.1.42	Branched-chain-amino-acid transaminase	00290	Valine, leucine and isoleucine biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.649				Branched-chain amino acid aminotransferase (EC 2.6.1.42)	2.6.1.42	Branched-chain-amino-acid transaminase	00770	Pantothenate and CoA biosynthesis
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.650				UDP-glucose 4-epimerase (EC 5.1.3.2)	5.1.3.2	UDP-glucose 4-epimerase	00052	Galactose metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.650				UDP-glucose 4-epimerase (EC 5.1.3.2)	5.1.3.2	UDP-glucose 4-epimerase	00520	Amino sugar and nucleotide sugar metabolism
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.651				3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	4.1.99.12	3,4-dihydroxy-2-butanone-4-phosphate synthase	00740	Riboflavin metabolism
