# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	2290	2610	-	RLG61371.1			hypothetical protein			DRN86_00040	321	106	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	2722	3096	+							DRN86_00045	375		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	2722	3096	+	RLG61372.1			hypothetical protein			DRN86_00045	375	124	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	3241	3897	+							DRN86_00050	657		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	3241	3897	+	RLG61373.1			hypothetical protein			DRN86_00050	657	218	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	3943	5025	+							DRN86_00055	1083		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	3943	5025	+	RLG61374.1			hypothetical protein			DRN86_00055	1083	360	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	5018	6325	+							DRN86_00060	1308		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	5018	6325	+	RLG61375.1			hypothetical protein			DRN86_00060	1308	435	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	6568	6852	+							DRN86_00065	285		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	6568	6852	+	RLG61376.1			hypothetical protein			DRN86_00065	285	94	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	6849	12614	+							DRN86_00070	5766		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	6849	12614	+	RLG61377.1			hypothetical protein			DRN86_00070	5766	1921	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	12947	13339	+							DRN86_00075	393		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	12947	13339	+	RLG61378.1			hypothetical protein			DRN86_00075	393	130	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	13354	14430	+							DRN86_00080	1077		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	13354	14430	+	RLG61379.1			hypothetical protein			DRN86_00080	1077	358	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	14436	14711	+							DRN86_00085	276		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	14436	14711	+	RLG61380.1			hypothetical protein			DRN86_00085	276	91	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	15077	15544	+							DRN86_00090	468		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	15077	15544	+	RLG61381.1			hypothetical protein			DRN86_00090	468	155	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	15680	16642	+							DRN86_00095	963		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	15680	16642	+	RLG61382.1			hypothetical protein			DRN86_00095	963	321	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	1	128	-							DRN86_00100	128		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	1	128	-	RLG61331.1			homoserine kinase			DRN86_00100	128	43	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	231	1232	+							DRN86_00105	1002		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	231	1232	+	RLG61332.1			glycosyl transferase family 4			DRN86_00105	1002	333	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	1254	1814	+							DRN86_00110	561		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	1254	1814	+	RLG61333.1			hypothetical protein			DRN86_00110	561	186	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	1817	2146	+							DRN86_00115	330		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	1817	2146	+	RLG61334.1			hypothetical protein			DRN86_00115	330	109	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	2150	2767	+							DRN86_00120	618		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	2150	2767	+	RLG61335.1			hypothetical protein			DRN86_00120	618	205	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	2815	4329	-							DRN86_00125	1515		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	2815	4329	-	RLG61336.1			hypothetical protein			DRN86_00125	1515	504	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	4410	4952	+							DRN86_00130	543		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	4410	4952	+	RLG61337.1			hypothetical protein			DRN86_00130	543	180	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	4949	5404	+							DRN86_00135	456		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	4949	5404	+	RLG61338.1			hypothetical protein			DRN86_00135	456	151	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	5499	6320	-							DRN86_00140	822		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	5499	6320	-	RLG61339.1			hypothetical protein			DRN86_00140	822	273	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	6381	7367	+							DRN86_00145	987		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	6381	7367	+	RLG61340.1			glycosyl transferase family 1			DRN86_00145	987	328	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	7555	8445	+							DRN86_00150	891		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	7555	8445	+	RLG61341.1			hypothetical protein			DRN86_00150	891	296	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	9313	10179	-							DRN86_00155	867		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	9313	10179	-	RLG61342.1			hypothetical protein			DRN86_00155	867	288	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	11320	12366	+							DRN86_00160	1047		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	11320	12366	+	RLG61343.1			hypothetical protein			DRN86_00160	1047	348	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	12389	13501	+							DRN86_00165	1113		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	12389	13501	+	RLG61344.1			hypothetical protein			DRN86_00165	1113	370	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	13502	14944	-							DRN86_00170	1443		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	13502	14944	-	RLG61345.1			hypothetical protein			DRN86_00170	1443	480	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	15412	15648	+							DRN86_00175	237		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000002.1	15412	15648	+	RLG61346.1			hypothetical protein			DRN86_00175	237	79	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1	683	+							DRN86_00180	683		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1	683	+	RLG61293.1			hypothetical protein			DRN86_00180	683	226	partial
gene	pseudogene	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	687	833	+							DRN86_00185	147		pseudo
CDS	without_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	687	833	+				peptidase			DRN86_00185	147		pseudo
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1240	1542	+							DRN86_00190	303		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1240	1542	+	RLG61294.1			hypothetical protein			DRN86_00190	303	100	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1658	1882	+							DRN86_00195	225		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1658	1882	+	RLG61295.1			hypothetical protein			DRN86_00195	225	74	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1901	1972	+							DRN86_00200	72		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	1901	1972	+	RLG61307.1			hypothetical protein			DRN86_00200	72	23	
gene	tRNA	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	2099	2181	+							DRN86_00205	83		
tRNA		GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	2099	2181	+				tRNA-Cys			DRN86_00205	72		anticodon=GCA
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	3144	3977	-							DRN86_00210	834		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	3144	3977	-	RLG61296.1			hypothetical protein			DRN86_00210	834	277	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	3961	4371	-							DRN86_00215	411		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	3961	4371	-	RLG61297.1			hypothetical protein			DRN86_00215	411	136	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	4555	5346	-							DRN86_00220	792		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	4555	5346	-	RLG61298.1			hypothetical protein			DRN86_00220	792	263	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	5396	6613	-							DRN86_00225	1218		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	5396	6613	-	RLG61299.1			hypothetical protein			DRN86_00225	1218	405	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	6610	7602	-							DRN86_00230	993		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	6610	7602	-	RLG61300.1			hypothetical protein			DRN86_00230	993	330	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	7640	8317	+							DRN86_00235	678		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	7640	8317	+	RLG61301.1			FAD-dependent thymidylate synthase			DRN86_00235	678	225	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	8304	8519	-							DRN86_00240	216		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	8304	8519	-	RLG61302.1			hypothetical protein			DRN86_00240	216	71	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	8533	8841	-							DRN86_00245	309		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	8533	8841	-	RLG61303.1			stress response translation initiation inhibitor YciH			DRN86_00245	309	102	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	8990	9826	-							DRN86_00250	837		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	8990	9826	-	RLG61308.1			class I SAM-dependent methyltransferase family protein			DRN86_00250	837	278	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	10001	12343	+							DRN86_00255	2343		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	10001	12343	+	RLG61304.1			DNA polymerase II			DRN86_00255	2343	780	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	12340	13554	+							DRN86_00260	1215		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	12340	13554	+	RLG61305.1			hypothetical protein			DRN86_00260	1215	404	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	13563	14959	+							DRN86_00265	1397		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000003.1	13563	14959	+	RLG61306.1			hypothetical protein			DRN86_00265	1397	466	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	1	878	+							DRN86_00270	878		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	1	878	+	RLG61259.1			hypothetical protein			DRN86_00270	878	291	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	894	1334	+							DRN86_00275	441		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	894	1334	+	RLG61260.1			hypothetical protein			DRN86_00275	441	146	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	1331	2425	+							DRN86_00280	1095		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	1331	2425	+	RLG61261.1			hypothetical protein			DRN86_00280	1095	364	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	2379	3698	-							DRN86_00285	1320		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	2379	3698	-	RLG61262.1			hypothetical protein			DRN86_00285	1320	439	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	3733	4383	+							DRN86_00290	651		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	3733	4383	+	RLG61263.1			hypothetical protein			DRN86_00290	651	216	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	4333	5307	-					thiL		DRN86_00295	975		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	4333	5307	-	RLG61264.1			thiamine-phosphate kinase	thiL		DRN86_00295	975	324	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	5387	6244	-							DRN86_00300	858		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	5387	6244	-	RLG61265.1			hypothetical protein			DRN86_00300	858	285	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	6363	8582	+							DRN86_00305	2220		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	6363	8582	+	RLG61266.1			hypothetical protein			DRN86_00305	2220	739	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	8613	9794	+							DRN86_00310	1182		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	8613	9794	+	RLG61267.1			hypothetical protein			DRN86_00310	1182	393	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	10025	10339	+							DRN86_00315	315		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	10025	10339	+	RLG61268.1			hypothetical protein			DRN86_00315	315	104	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	10347	11576	-							DRN86_00320	1230		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	10347	11576	-	RLG61269.1			hypothetical protein			DRN86_00320	1230	409	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	11577	13268	-							DRN86_00325	1692		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	11577	13268	-	RLG61270.1			TIGR04190 family B12-binding domain/radical SAM domain protein			DRN86_00325	1692	563	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	13265	14209	-							DRN86_00330	945		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	13265	14209	-	RLG61271.1			hypothetical protein			DRN86_00330	945	314	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	14267	14728	-							DRN86_00335	462		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000004.1	14267	14728	-	RLG61272.1			hypothetical protein			DRN86_00335	462	153	
gene	pseudogene	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	1	1207	-							DRN86_00340	1207		pseudo
CDS	without_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	1	1207	-				FMN-binding glutamate synthase family protein			DRN86_00340	1207		pseudo
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	1385	2341	+							DRN86_00345	957		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	1385	2341	+	RLG61236.1			replication factor C small subunit			DRN86_00345	957	318	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	2344	3540	+							DRN86_00350	1197		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	2344	3540	+	RLG61237.1			hypothetical protein			DRN86_00350	1197	398	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	3537	3902	+							DRN86_00355	366		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	3537	3902	+	RLG61238.1			hypothetical protein			DRN86_00355	366	121	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	3879	4403	-							DRN86_00360	525		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	3879	4403	-	RLG61239.1			molybdenum cofactor biosynthesis protein			DRN86_00360	525	174	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	4396	4842	-					moaC		DRN86_00365	447		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	4396	4842	-	RLG61240.1			cyclic pyranopterin monophosphate synthase MoaC	moaC		DRN86_00365	447	148	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	4829	5125	-							DRN86_00370	297		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	4829	5125	-	RLG61241.1			ArsR family transcriptional regulator			DRN86_00370	297	98	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	5118	6278	-							DRN86_00375	1161		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	5118	6278	-	RLG61242.1			hypothetical protein			DRN86_00375	1161	386	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	6509	6880	+							DRN86_00380	372		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	6509	6880	+	RLG61243.1			hypothetical protein			DRN86_00380	372	123	
gene	tRNA	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	6891	6964	+							DRN86_00385	74		
tRNA		GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	6891	6964	+				tRNA-Gly			DRN86_00385	74		anticodon=CCC
gene	tRNA	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	7035	7122	+							DRN86_00390	88		
tRNA		GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	7035	7122	+				tRNA-Gln			DRN86_00390	88		anticodon=TTG
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	7490	9100	-							DRN86_00395	1611		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	7490	9100	-	RLG61244.1			hypothetical protein			DRN86_00395	1611	536	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	9187	10494	+							DRN86_00400	1308		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	9187	10494	+	RLG61245.1			threonylcarbamoyladenosine tRNA methylthiotransferase			DRN86_00400	1308	435	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	10450	11124	-							DRN86_00405	675		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	10450	11124	-	RLG61246.1			hypothetical protein			DRN86_00405	675	224	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	11127	12806	-							DRN86_00410	1680		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	11127	12806	-	RLG61247.1			methionine--tRNA ligase			DRN86_00410	1680	559	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	12808	13893	-							DRN86_00415	1086		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000005.1	12808	13893	-	RLG61248.1			adenosylhomocysteinase			DRN86_00415	1086	361	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	1	1425	+							DRN86_00420	1425		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	1	1425	+	RLG61212.1			DNA-directed RNA polymerase subunit B			DRN86_00420	1425	474	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	1427	5248	+							DRN86_00425	3822		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	1427	5248	+	RLG61213.1			DNA-directed RNA polymerase subunit A'/A''			DRN86_00425	3822	1273	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	5232	5561	+							DRN86_00430	330		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	5232	5561	+	RLG61214.1			50S ribosomal protein L30e			DRN86_00430	330	109	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	5554	6018	+							DRN86_00435	465		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	5554	6018	+	RLG61215.1			NusA-like transcription termination signal-binding factor			DRN86_00435	465	154	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	6092	6529	+							DRN86_00440	438		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	6092	6529	+	RLG61216.1			30S ribosomal protein S12			DRN86_00440	438	145	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	6531	7118	+							DRN86_00445	588		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	6531	7118	+	RLG61217.1			30S ribosomal protein S7			DRN86_00445	588	195	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	7207	8517	+					tuf		DRN86_00450	1311		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	7207	8517	+	RLG61218.1			translation elongation factor EF-1 subunit alpha	tuf		DRN86_00450	1311	436	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	8581	8889	+					rpsJ		DRN86_00455	309		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	8581	8889	+	RLG61219.1			30S ribosomal protein S10	rpsJ		DRN86_00455	309	102	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000006.1	9193	10521	+							DRN86_00460	1329		
