genome_id	genome_name	seed_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
1227494.3	Natrinema altunense JCM 12890		C485_01630		trpA	tryptophan synthase subunit alpha	4.2.1.20	Tryptophan synthase	00260	Glycine, serine and threonine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01630		trpA	tryptophan synthase subunit alpha	4.2.1.20	Tryptophan synthase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_01635			tryptophan synthase subunit beta	4.2.1.20	Tryptophan synthase	00260	Glycine, serine and threonine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01635			tryptophan synthase subunit beta	4.2.1.20	Tryptophan synthase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_01740			imidazolonepropionase	3.5.2.7	Imidazolonepropionase	00340	Histidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01750			urocanate hydratase	4.2.1.49	Urocanate hydratase	00340	Histidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01969			phosphoenolpyruvate synthase	2.7.9.2	Pyruvate, water dikinase	00620	Pyruvate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01969			phosphoenolpyruvate synthase	2.7.9.2	Pyruvate, water dikinase	00680	Methane metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01969			phosphoenolpyruvate synthase	2.7.9.2	Pyruvate, water dikinase	00720	Reductive carboxylate cycle (CO2 fixation)
1227494.3	Natrinema altunense JCM 12890		C485_02049		gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B	6.3.5.-	Carbon--nitrogen ligases with glutamine as amido-N-donor.	00253	Tetracycline biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_02184			adenine phosphoribosyltransferase	2.4.2.7	Adenine phosphoribosyltransferase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02344			phosphoglyceromutase	5.4.2.1	Phosphoglycerate mutase	00010	Glycolysis / Gluconeogenesis
1227494.3	Natrinema altunense JCM 12890		C485_02344			phosphoglyceromutase	5.4.2.1	Phosphoglycerate mutase	00260	Glycine, serine and threonine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02344			phosphoglyceromutase	5.4.2.1	Phosphoglycerate mutase	00680	Methane metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02414		tmk	thymidylate kinase	2.7.4.9	dTMP kinase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02469			phosphoribosylaminoimidazole-succinocarboxamide synthase	6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02529			phosphoribosylformylglycinamidine synthase I	6.3.5.3	Phosphoribosylformylglycinamidine synthase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02534			phosphoribosylformylglycinamidine synthase subunit PurS	6.3.5.3	Phosphoribosylformylglycinamidine synthase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02813			nicotinamide-nucleotide adenylyltransferase	2.7.7.1	Nicotinamide-nucleotide adenylyltransferase	00760	Nicotinate and nicotinamide metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02853			adenylosuccinate lyase	4.3.2.2	Adenylosuccinate lyase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02853			adenylosuccinate lyase	4.3.2.2	Adenylosuccinate lyase	00250	Alanine, aspartate and glutamate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_02888		dapD	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	00300	Lysine biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03038		aroE	shikimate 5-dehydrogenase	1.1.1.25	Shikimate dehydrogenase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03218			NADH dehydrogenase subunit J	1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)	00190	Oxidative phosphorylation
1227494.3	Natrinema altunense JCM 12890		C485_03218			NADH dehydrogenase subunit J	1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)	00910	Nitrogen metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00250	Alanine, aspartate and glutamate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00270	Cysteine and methionine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00330	Arginine and proline metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00350	Tyrosine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00360	Phenylalanine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00401	Novobiocin biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00710	Carbon fixation in photosynthetic organisms
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00950	Isoquinoline alkaloid biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03263			aspartate aminotransferase	2.6.1.1	Aspartate transaminase	00960	Tropane, piperidine and pyridine alkaloid biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03423		leuS	leucyl-tRNA ligase	6.1.1.4	Leucine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03643			fructose-1,6-bisphosphatase	3.1.3.11	Fructose-bisphosphatase	00010	Glycolysis / Gluconeogenesis
1227494.3	Natrinema altunense JCM 12890		C485_03643			fructose-1,6-bisphosphatase	3.1.3.11	Fructose-bisphosphatase	00030	Pentose phosphate pathway
1227494.3	Natrinema altunense JCM 12890		C485_03643			fructose-1,6-bisphosphatase	3.1.3.11	Fructose-bisphosphatase	00051	Fructose and mannose metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03643			fructose-1,6-bisphosphatase	3.1.3.11	Fructose-bisphosphatase	00680	Methane metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03643			fructose-1,6-bisphosphatase	3.1.3.11	Fructose-bisphosphatase	00710	Carbon fixation in photosynthetic organisms
1227494.3	Natrinema altunense JCM 12890		C485_03830			chorismate synthase	4.2.3.5	Chorismate synthase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03860			3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_03915		truD	tRNA pseudouridine synthase D	5.4.99.-	Transferring other groups.	00627	1,4-Dichlorobenzene degradation
1227494.3	Natrinema altunense JCM 12890		C485_03975		rpoP	DNA-directed RNA polymerase subunit P	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_03975		rpoP	DNA-directed RNA polymerase subunit P	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04010			GMP synthase subunit A	6.3.5.2	GMP synthase (glutamine-hydrolyzing)	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04010			GMP synthase subunit A	6.3.5.2	GMP synthase (glutamine-hydrolyzing)	00983	Drug metabolism - other enzymes
1227494.3	Natrinema altunense JCM 12890		C485_04160			adenylosuccinate synthetase	6.3.4.4	Adenylosuccinate synthase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04160			adenylosuccinate synthetase	6.3.4.4	Adenylosuccinate synthase	00250	Alanine, aspartate and glutamate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04370			cobalt-precorrin-2 C(20)-methyltransferase	2.1.1.151	Cobalt-factor II C(20)-methyltransferase	00860	Porphyrin and chlorophyll metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04855		hemA	glutamyl-tRNA reductase	1.2.1.70	Glutamyl-tRNA reductase	00860	Porphyrin and chlorophyll metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04940			aspartate carbamoyltransferase regulatory subunit	2.1.3.2	Aspartate carbamoyltransferase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04940			aspartate carbamoyltransferase regulatory subunit	2.1.3.2	Aspartate carbamoyltransferase	00250	Alanine, aspartate and glutamate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04945		pyrB	aspartate carbamoyltransferase catalytic subunit	2.1.3.2	Aspartate carbamoyltransferase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04945		pyrB	aspartate carbamoyltransferase catalytic subunit	2.1.3.2	Aspartate carbamoyltransferase	00250	Alanine, aspartate and glutamate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_04965			S-adenosylmethionine synthetase	2.5.1.6	Methionine adenosyltransferase	00270	Cysteine and methionine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05046			phosphoribosylamine--glycine ligase	6.3.4.13	Phosphoribosylamine--glycine ligase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05086			bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	3.5.4.9	Methenyltetrahydrofolate cyclohydrolase	00670	One carbon pool by folate
1227494.3	Natrinema altunense JCM 12890		C485_05086			bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	3.5.4.9	Methenyltetrahydrofolate cyclohydrolase	00720	Reductive carboxylate cycle (CO2 fixation)
1227494.3	Natrinema altunense JCM 12890		C485_05096		glyA	serine hydroxymethyltransferase	2.1.2.1	Glycine hydroxymethyltransferase	00260	Glycine, serine and threonine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05096		glyA	serine hydroxymethyltransferase	2.1.2.1	Glycine hydroxymethyltransferase	00460	Cyanoamino acid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05096		glyA	serine hydroxymethyltransferase	2.1.2.1	Glycine hydroxymethyltransferase	00630	Glyoxylate and dicarboxylate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05096		glyA	serine hydroxymethyltransferase	2.1.2.1	Glycine hydroxymethyltransferase	00670	One carbon pool by folate
1227494.3	Natrinema altunense JCM 12890		C485_05096		glyA	serine hydroxymethyltransferase	2.1.2.1	Glycine hydroxymethyltransferase	00680	Methane metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05361			phosphoribosylaminoimidazole synthetase	6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05511		pgk	phosphoglycerate kinase	2.7.2.3	Phosphoglycerate kinase	00010	Glycolysis / Gluconeogenesis
1227494.3	Natrinema altunense JCM 12890		C485_05511		pgk	phosphoglycerate kinase	2.7.2.3	Phosphoglycerate kinase	00710	Carbon fixation in photosynthetic organisms
1227494.3	Natrinema altunense JCM 12890		C485_05521			GTP cyclohydrolase III	3.5.4.29	GTP cyclohydrolase IIa	00740	Riboflavin metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05558			methylaspartate mutase subunit S	5.4.99.1	Methylaspartate mutase	00660	C5-Branched dibasic acid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05825			phosphoenolpyruvate carboxykinase	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	00010	Glycolysis / Gluconeogenesis
1227494.3	Natrinema altunense JCM 12890		C485_05825			phosphoenolpyruvate carboxykinase	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	00020	Citrate cycle (TCA cycle)
1227494.3	Natrinema altunense JCM 12890		C485_05825			phosphoenolpyruvate carboxykinase	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	00620	Pyruvate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_05825			phosphoenolpyruvate carboxykinase	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	00710	Carbon fixation in photosynthetic organisms
1227494.3	Natrinema altunense JCM 12890		C485_05930			phosphoribosylformylglycinamidine synthase II	6.3.5.3	Phosphoribosylformylglycinamidine synthase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_06080		gatA	aspartyl/glutamyl-tRNA amidotransferase subunit A	6.3.5.-	Carbon--nitrogen ligases with glutamine as amido-N-donor.	00253	Tetracycline biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_06125			naphthoate synthase	4.1.3.36	1,4-dihydroxy-2-naphthoyl-CoA synthase	00130	Ubiquinone and other terpenoid-quinone biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_06175			imidazole glycerol phosphate synthase subunit HisF	4.1.3.-	Oxo-acid-lyases.	00620	Pyruvate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_06175			imidazole glycerol phosphate synthase subunit HisF	4.1.3.-	Oxo-acid-lyases.	00624	1- and 2-Methylnaphthalene degradation
1227494.3	Natrinema altunense JCM 12890		C485_06185			DNA-directed RNA polymerase subunit L	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_06185			DNA-directed RNA polymerase subunit L	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_06305		fumC	fumarate hydratase	4.2.1.2	Fumarate hydratase	00020	Citrate cycle (TCA cycle)
1227494.3	Natrinema altunense JCM 12890		C485_06305		fumC	fumarate hydratase	4.2.1.2	Fumarate hydratase	00720	Reductive carboxylate cycle (CO2 fixation)
1227494.3	Natrinema altunense JCM 12890		C485_06560		hisD	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase	1.1.1.23	Histidinol dehydrogenase	00340	Histidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_06845		argS	arginyl-tRNA ligase	6.1.1.19	Arginine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_06850			uridine/cytidine kinase	2.7.1.48	Uridine kinase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_06850			uridine/cytidine kinase	2.7.1.48	Uridine kinase	00983	Drug metabolism - other enzymes
1227494.3	Natrinema altunense JCM 12890		C485_06947		thrS	threonyl-tRNA ligase	6.1.1.3	Threonine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_06972			adenine phosphoribosyltransferase	2.4.2.7	Adenine phosphoribosyltransferase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_06977			methylaspartate mutase subunit S	5.4.99.1	Methylaspartate mutase	00660	C5-Branched dibasic acid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_07157			phosphatidylserine decarboxylase	4.1.1.65	Phosphatidylserine decarboxylase	00564	Glycerophospholipid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_07257		proA	gamma-glutamyl phosphate reductase	1.2.1.41	Glutamate-5-semialdehyde dehydrogenase	00330	Arginine and proline metabolism
1227494.3	Natrinema altunense JCM 12890		C485_07277			N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase	3.5.4.27	Methenyltetrahydromethanopterin cyclohydrolase	00680	Methane metabolism
1227494.3	Natrinema altunense JCM 12890		C485_07457			adenylate kinase	2.7.4.3	Adenylate kinase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_07472			cytidylate kinase	2.7.4.14	UMP/CMP kinase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_07817			tyrosyl-tRNA ligase	6.1.1.1	Tyrosine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_08047			isopropylmalate isomerase large subunit	4.2.1.33	3-isopropylmalate dehydratase	00290	Valine, leucine and isoleucine biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_08057			ketol-acid reductoisomerase	1.1.1.86	Ketol-acid reductoisomerase	00290	Valine, leucine and isoleucine biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_08057			ketol-acid reductoisomerase	1.1.1.86	Ketol-acid reductoisomerase	00770	Pantothenate and CoA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_08187			anaerobic glycerol-3-phosphate dehydrogenase subunit B	1.1.5.3	Glycerol-3-phosphate dehydrogenase	00564	Glycerophospholipid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_08197		glpK	glycerol kinase	2.7.1.30	Glycerol kinase	00561	Glycerolipid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_08312			branched-chain amino acid aminotransferase	2.6.1.42	Branched-chain-amino-acid transaminase	00280	Valine, leucine and isoleucine degradation
1227494.3	Natrinema altunense JCM 12890		C485_08312			branched-chain amino acid aminotransferase	2.6.1.42	Branched-chain-amino-acid transaminase	00290	Valine, leucine and isoleucine biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_08312			branched-chain amino acid aminotransferase	2.6.1.42	Branched-chain-amino-acid transaminase	00770	Pantothenate and CoA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_08382		hisH	imidazole glycerol phosphate synthase subunit HisH	2.4.2.-	Pentosyltransferases.	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_08432		dcd	deoxycytidine triphosphate deaminase	3.5.4.13	dCTP deaminase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_08872		trpD	anthranilate phosphoribosyltransferase	2.4.2.18	Anthranilate phosphoribosyltransferase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_08992			shikimate kinase	2.7.1.71	Shikimate kinase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_09112			acylphosphatase	3.6.1.7	Acylphosphatase	00620	Pyruvate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_09112			acylphosphatase	3.6.1.7	Acylphosphatase	00627	1,4-Dichlorobenzene degradation
1227494.3	Natrinema altunense JCM 12890		C485_09317			phosphopantetheine adenylyltransferase	2.7.7.3	Pantetheine-phosphate adenylyltransferase	00770	Pantothenate and CoA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_09322			bifunctional malic enzyme oxidoreductase/phosphotransacetylase	1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	00620	Pyruvate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_09322			bifunctional malic enzyme oxidoreductase/phosphotransacetylase	1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	00710	Carbon fixation in photosynthetic organisms
1227494.3	Natrinema altunense JCM 12890		C485_09347			polyphosphate kinase	2.7.4.1	Polyphosphate kinase	00190	Oxidative phosphorylation
1227494.3	Natrinema altunense JCM 12890		C485_09362			5-amino-6-(5-phosphoribosylamino)uracil reductase	1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase	00740	Riboflavin metabolism
1227494.3	Natrinema altunense JCM 12890		C485_09790			dihydroorotate dehydrogenase 2	1.3.98.1	Dihydroorotate oxidase (fumarate)	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_09850			monovalent cation/H+ antiporter subunit D	1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)	00190	Oxidative phosphorylation
1227494.3	Natrinema altunense JCM 12890		C485_09850			monovalent cation/H+ antiporter subunit D	1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)	00910	Nitrogen metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10320			dihydroxy-acid dehydratase	4.2.1.9	Dihydroxy-acid dehydratase	00290	Valine, leucine and isoleucine biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10320			dihydroxy-acid dehydratase	4.2.1.9	Dihydroxy-acid dehydratase	00770	Pantothenate and CoA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00130	Ubiquinone and other terpenoid-quinone biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00253	Tetracycline biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00340	Histidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00350	Tyrosine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00360	Phenylalanine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00380	Tryptophan metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00450	Selenoamino acid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00522	Biosynthesis of 12-, 14- and 16-membered macrolides
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00624	1- and 2-Methylnaphthalene degradation
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00627	1,4-Dichlorobenzene degradation
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00860	Porphyrin and chlorophyll metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00940	Phenylpropanoid biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00941	Flavonoid biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00942	Anthocyanin biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00950	Isoquinoline alkaloid biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	00981	Insect hormone biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	01051	Biosynthesis of ansamycins
1227494.3	Natrinema altunense JCM 12890		C485_10644		ksgA	16S ribosomal RNA methyltransferase KsgA/Dim1 family protein	2.1.1.-	Methyltransferases.	01057	Biosynthesis of type II polyketide products
1227494.3	Natrinema altunense JCM 12890		C485_10654			DNA-directed RNA polymerase subunit F	2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10654			DNA-directed RNA polymerase subunit F	2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10699		ndk	mulitfunctional nucleoside diphosphate kinase/apyrimidinic endonuclease/3'-phosphodiesterase	2.7.4.6	Nucleoside-diphosphate kinase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_10699		ndk	mulitfunctional nucleoside diphosphate kinase/apyrimidinic endonuclease/3'-phosphodiesterase	2.7.4.6	Nucleoside-diphosphate kinase	00240	Pyrimidine metabolism
