genome_id	genome_name	accession	annotation	feature_type	seed_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	go	ec	pathway
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00125			21871	23118	-	1248		putative sugar transporter				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00130			23124	24230	-	1107		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00135			24369	25712	-	1344		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00140			26150	27688	+	1539		extracellular solute-binding protein family 5				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00145			27696	28646	+	951		binding-protein-dependent transport systems inner membrane component				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00150			28643	29551	+	909		binding-protein-dependent transport systems inner membrane component				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00155			29560	31686	+	2127		oligopeptide/dipeptide ABC transporter, ATPase subunit				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00160			31693	31803	-	111		transposase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00165			32009	32836	+	828		Citryl-CoA lyase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00170			32867	35044	-	2178		AMP-dependent synthetase and ligase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00175			35152	35874	+	723		Methyltransferase type 11				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00180			35907	36419	-	513		MaoC domain protein dehydratase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00185			36459	38213	-	1755		Propionyl-CoA carboxylase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00190			38219	39991	-	1773		Carbamoyl-phosphate synthase L chain ATP-binding protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00195			39994	41211	-	1218		acyl-CoA dehydrogenase domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00200			41266	42948	-	1683		AMP-dependent synthetase and ligase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00205			43139	44533	-	1395		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00210			44530	46035	-	1506		Carboxylyase-related protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00215			46032	46529	-	498		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00220			47899	48651	+	753		Transcriptional regulator IclR				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00225			48756	49544	-	789		Enoyl-CoA hydratase/isomerase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00230			49621	51177	-	1557		coenzyme A transferase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00235			51403	52527	+	1125		acyl-CoA dehydrogenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00240			52530	53393	-	864		3-hydroxybutyryl-CoA dehydrogenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00245			53531	55165	-	1635		AMP-dependent synthetase and ligase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00250			55383	55486	+	104		methylmalonyl-CoA mutase large subunit				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00255			32	1501	+	1470		methylmalonyl-CoA mutase large subunit				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00260			2016	3323	-	1308		phenylacetate--CoA ligase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00265			3538	4410	+	873		amidohydrolase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00270			4422	4742	-	321		Ethyl tert-butyl ether degradation EthD				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00275			4893	5531	-	639		transcription regulator				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00280			5616	6554	+	939	paaA	phenylacetate-CoA oxygenase subunit PaaA				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00285			6560	6904	+	345		phenylacetic acid degradation B				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00290			6901	7737	+	837		phenylacetate-CoA oxygenase, PaaI subunit				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00295			7734	8150	+	417		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00300			8147	8311	+	165		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00305			8322	8783	-	462		monoamine oxidase regulatory protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00310			9194	10027	+	834		alpha/beta hydrolase fold protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00315			10145	11284	-	1140		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00320			11686	12129	-	444		transposase (TCE33)				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00325			12391	12795	-	405		FAD dependent oxidoreductase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00330			12904	13116	+	213		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00335			13135	13422	+	288		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00340			13733	14065	-	333		quaternary ammonium compound-resistance protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00345			14515	14937	+	423		transcriptional regulator, TrmB				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00350			15140	15400	-	261		transposase (TCE33)				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00355			15577	15804	+	228		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00360			15842	16276	-	435		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00365			16277	16528	-	252		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00370			17174	17995	-	822		zinc finger SWIM domain protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00375			18136	18273	-	138		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00380			18276	18827	-	552		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00395			20070	20492	+	423		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00400			20627	21004	-	378		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00405			21200	21460	+	261		phage PhiH1 repressor protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00410			21483	22034	-	552		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00415			22028	22255	-	228		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00420			22252	22422	-	171		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00425			22460	23071	-	612		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00430			23141	23719	-	579		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00435			24103	24405	-	303		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00440			24627	25535	-	909		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00445			25593	25787	-	195		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00450			26089	26412	+	324		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00455			26548	26946	+	399		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00460			27067	27435	-	369		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00465			27675	27968	+	294		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00470			27965	29767	+	1803		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00475			29836	30192	+	357		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00480			30439	30843	+	405		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00485			30973	32259	-	1287		transposase, IS605 OrfB family protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00490			32883	37121	+	4239		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00495			37202	37447	+	246		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00500			37460	37717	-	258		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00505			38373	39662	-	1290		Pyrrolo-quinoline quinone				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00510			39655	40221	-	567		Pyrrolo-quinoline quinone				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00515			40678	41907	-	1230		putative sugar phosphatase of HAD superfamily protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00520			41923	43125	-	1203		MFS transporter				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00525			43588	43944	-	357		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00530			44115	44768	-	654		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00535			44772	45293	-	522		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00540			46333	46698	+	366		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00545			47264	48067	+	804		Transcriptional regulator IclR				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00550			48157	49446	-	1290		Glu/Leu/Phe/Val dehydrogenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00555			49566	50876	-	1311		aminotransferase class-III				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00560			52480	53946	+	1467		Na+/H+ antiporter NhaC				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00565			54457	55776	-	1320		aminotransferase class-III				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00570			55945	56901	-	957		arginase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00575			57430	58230	-	801		Transcriptional regulator IclR				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00580			58359	59891	-	1533		Aldehyde Dehydrogenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00585			60414	62057	+	1644		Na+/H+ antiporter NhaC-like protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00590			62322	63914	+	1593		thiamine pyrophosphate central domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00595			64877	65389	-	513		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00600			65390	67078	-	1689		SSS sodium solute transporter superfamily protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00605			67068	67211	-	144		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00610			67409	68161	-	753		proline dehydrogenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00615			68318	69055	-	738		Bacterio-opsin activator HTH domain protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00620			69532	70311	+	780		IclR family transcriptional regulator				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00625			70563	70820	-	258		IS240-type transposase (ISH102)				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00630			71811	73229	+	1419		orc1/cdc6 family replication initiation protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00635			74243	74920	-	678		integrase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00640			75678	76520	+	843		plasmid partitioning protein Soj				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00645			76517	76981	+	465		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00650			77028	77477	-	450		MaoC domain protein dehydratase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00655			77559	78089	-	531		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00660			78322	78585	+	264		phage PhiH1 repressor protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00665			78769	79281	-	513		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00670			79282	79572	-	291		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00675			79778	80188	-	411		NUDIX hydrolase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00680			80209	80694	-	486		transposase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00685			81859	82680	-	822		zinc finger SWIM domain protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00690			83650	85131	-	1482		MATE family drug/sodium antiporter				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00695			85131	85730	-	600		TetR family regulator				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00700			85908	86501	+	594		TetR family transcriptional regulator				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00705			86531	86959	-	429		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00710			87227	88027	-	801		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00715			88234	90666	-	2433		heavy metal translocating P-type ATPase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00720			91092	91448	+	357		transcriptional regulator				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00725			91760	92305	+	546		AzlC family protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00730			92298	92609	+	312		branched-chain amino acid transport				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00735			92770	93891	+	1122		N-acylamino acid racemase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00740			93955	94701	+	747		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00745			94720	95265	-	546		N-acetyltransferase GCN5				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00750			95262	95660	-	399		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00755			95669	96031	-	363		Rieske (2Fe-2S) domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00760			96028	97143	-	1116		amidohydrolase 2				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00765			97604	97897	-	294		transcriptional regulator PadR family protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00770			98253	99290	-	1038		thioredoxin reductase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00775			99287	99646	-	360		thioredoxin				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00780			100169	100552	+	384		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00785			100631	101779	-	1149		Rhodanese-like protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00790			102094	102384	+	291		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00795			102528	102977	+	450		flavin-nucleotide-binding protein-like protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00800			103098	103286	-	189		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00805			103532	104176	+	645		SOUL heme-binding protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00810			104191	104631	-	441		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00815			104828	105247	-	420		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00820			105314	105724	-	411		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00825			105919	106800	+	882		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00830			106837	107394	-	558		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00835			107564	108484	+	921		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00840			108566	109018	+	453		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00845			109196	109645	+	450		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00850			109739	110338	-	600		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00855			110335	110628	-	294		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00860			110922	111404	+	483		pyridoxamine 5'-phosphate oxidase-related FMN-binding protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00865			111582	112196	+	615		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00870			112746	115331	-	2586		calcium-translocating P-type ATPase, PMCA-type				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00875			115484	116554	+	1071		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00880			116706	118262	+	1557		ABC-1 domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00885			118300	119559	-	1260		sodium/hydrogen exchanger				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00890			119762	120814	+	1053		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00895			120826	121734	-	909		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00900			121733	122020	+	288		glutamate dehydrogenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00905			122108	123646	+	1539		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00910			124420	124860	+	441		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00915			124863	125423	+	561		methyltransferase type 11				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00920			125507	126217	+	711		haloacid dehalogenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00925			126715	127287	-	573		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00930			128875	129141	-	267		PhiH1 repressor-like protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00935			129371	130153	+	783		transposase, IS605 OrfB family protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00940			130203	131099	+	897		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00945			131793	132095	+	303		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000002	RefSeq	CDS		C485_00950			132096	132205	+	110		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00955			586	1932	-	1347		beta-lactamase domain protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00960			2483	2758	-	276		transcriptional regulator PadR family protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00965			3208	3402	-	195		Cold-shock protein DNA-binding protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00970			3611	3805	+	195		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00975			3845	4570	+	726		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00980			4664	5761	+	1098		peptidase M29 aminopeptidase II				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00985			5924	6538	+	615		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00990			6639	7412	+	774		NAD-dependent epimerase/dehydratase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_00995			7512	8483	+	972		aldo/keto reductase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_01000			8507	9379	-	873		luciferase-like monooxygenase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_01005			9433	9846	+	414		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_01010			10173	10619	+	447		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_01015			10662	11399	-	738		Creatininase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_01020			11530	12552	+	1023		phosphoesterase PA-phosphatase-related protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000003	RefSeq	CDS		C485_01025			12539	12883	+	345		hypothetical protein				
