query_id	subject_id	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw
lcl|CP010426.1_prot_AJF62203.1_41	CP010426.1_31398	100	364	364	0	0	0	364	100	1	364	364	100	100	16	379	379	0	759	1959
lcl|CP010426.1_prot_AJF62204.1_42	CP010426.1_629	100	53	53	0	0	0	53	100	1	53	53	100	100	1	53	53	2.49e-34	107	266
lcl|CP010426.1_prot_AJF62205.1_43	CP010426.1_647	100	351	351	0	0	0	351	100	1	351	351	100	100	1	351	351	0	720	1858
lcl|CP010426.1_prot_AJF62206.1_44	CP010426.1_673	100	494	494	0	0	0	494	100	1	494	494	100	100	1	494	494	0	999	2582
lcl|CP010426.1_prot_AJF62207.1_45	CP010426.1_683	100	83	83	0	0	0	83	100	1	83	83	100	100	21	103	103	8.35e-58	169	428
lcl|CP010426.1_prot_AJF62208.1_46	CP010426.1_692	100	219	219	0	0	0	219	100	1	219	219	100	100	1	219	219	1.29e-162	444	1142
lcl|CP010426.1_prot_AJF62209.1_47	CP010426.1_708	100	326	326	0	0	0	326	100	1	326	326	100	100	15	340	340	0	672	1733
lcl|CP010426.1_prot_AJF62210.1_48	CP010426.1_31265	100	115	115	0	0	0	115	100	1	115	115	100	100	1	115	115	4.06e-82	232	592
lcl|CP010426.1_prot_AJF62211.1_49	CP010426.1_31260	100	281	281	0	0	0	281	100	1	281	281	100	100	9	289	289	0	572	1474
lcl|CP010426.1_prot_AJF62212.1_50	CP010426.1_746	100	187	187	0	0	0	187	100	1	187	187	100	100	4	190	190	1.83e-136	375	964
lcl|CP010426.1_prot_AJF62213.1_51	CP010426.1_31232	100	59	59	0	0	0	59	100	1	59	59	100	100	3	61	61	6.45e-31	99	245
lcl|CP010426.1_prot_AJF62214.1_52	CP010426.1_766	100	341	341	0	0	0	341	100	1	341	341	100	100	7	347	347	0	692	1786
lcl|CP010426.1_prot_AJF62215.1_53	CP010426.1_797	100	659	659	0	0	0	659	100	1	659	659	100	100	12	670	670	0	1332	3448
lcl|CP010426.1_prot_AJF62216.1_54	CP010426.1_31160	100	477	477	0	0	0	477	100	1	477	477	100	100	11	487	487	0	979	2530
lcl|CP010426.1_prot_AJF62217.1_55	CP010426.1_875	100	823	823	0	0	0	823	100	1	823	823	100	100	6	828	828	0	1660	4299
lcl|CP010426.1_prot_AJF62218.1_56	CP010426.1_31069	100	534	534	0	0	0	534	100	1	534	534	100	100	2	535	535	0	1044	2700
lcl|CP010426.1_prot_AJF62219.1_57	CP010426.1_31051	100	235	235	0	0	0	235	100	1	235	235	100	100	1	235	235	1.94e-171	468	1204
lcl|CP010426.1_prot_AJF62220.1_58	CP010426.1_31041	100	481	481	0	0	0	481	100	1	481	481	100	100	1	481	481	0	959	2478
lcl|CP010426.1_prot_AJF62221.1_59	CP010426.1_972	100	185	185	0	0	0	185	100	1	185	185	100	100	2	186	186	9.89e-136	374	959
lcl|CP010426.1_prot_AJF62222.1_60	CP010426.1_984	100	226	226	0	0	0	226	100	1	226	226	100	100	2	227	227	1.05e-159	437	1125
lcl|CP010426.1_prot_AJF62223.1_61	CP010426.1_997	100	196	196	0	0	0	196	100	1	196	196	100	100	1	196	196	2.3e-144	396	1018
lcl|CP010426.1_prot_AJF62224.1_62	CP010426.1_1019	100	461	461	0	0	0	461	100	1	461	461	100	100	10	470	470	0	922	2383
lcl|CP010426.1_prot_AJF62225.1_63	CP010426.1_1030	100	170	170	0	0	0	170	100	1	170	170	100	100	8	177	177	1.81e-122	339	869
lcl|CP010426.1_prot_AJF62226.1_64	CP010426.1_1034	100	83	83	0	0	0	83	100	1	83	83	100	100	1	83	83	6.01e-49	146	368
lcl|CP010426.1_prot_AJF62227.1_65	CP010426.1_1045	100	367	367	0	0	0	367	100	1	367	367	100	100	6	372	372	0	726	1875
lcl|CP010426.1_prot_AJF62228.1_66	CP010426.1_1061	100	359	359	0	0	0	359	100	1	359	359	100	100	32	390	390	0	731	1886
lcl|CP010426.1_prot_AJF62229.1_67	CP010426.1_30874	100	463	463	0	0	0	463	100	1	463	463	100	100	3	465	465	0	921	2380
lcl|CP010426.1_prot_AJF62230.1_68	CP010426.1_30851	100	406	406	0	0	0	406	100	1	406	406	100	100	1	406	406	0	768	1982
lcl|CP010426.1_prot_AJF62231.1_69	CP010426.1_30835	100	495	495	0	0	0	495	100	1	495	495	100	100	1	495	495	0	975	2520
lcl|CP010426.1_prot_AJF62232.1_70	CP010426.1_1198	100	775	775	0	0	0	775	100	1	775	775	100	100	11	785	785	0	1575	4078
lcl|CP010426.1_prot_AJF62233.1_71	CP010426.1_1204	100	148	148	0	0	0	148	100	1	148	148	100	100	5	152	152	1.79e-103	289	740
lcl|CP010426.1_prot_AJF62234.1_72	CP010426.1_30737	100	313	313	0	0	0	313	100	1	313	313	100	100	12	324	324	0	636	1640
lcl|CP010426.1_prot_AJF62235.1_73	CP010426.1_30720	100	324	324	0	0	0	324	100	1	324	324	100	100	1	324	324	0	668	1723
lcl|CP010426.1_prot_AJF62236.1_74	CP010426.1_30704	99.099	110	111	1	0	0	111	100	1	111	111	100	100	2	112	112	4.66e-76	217	552
lcl|CP010426.1_prot_AJF62237.1_75	CP010426.1_1265	100	286	286	0	0	0	286	100	1	286	286	100	100	3	288	288	0	578	1490
lcl|CP010426.1_prot_AJF62238.1_76	CP010426.1_1272	100	163	163	0	0	0	163	100	1	163	163	100	100	1	163	163	6.56e-122	337	863
lcl|CP010426.1_prot_AJF62239.1_77	CP010426.1_1278	100	130	130	0	0	0	130	100	1	130	130	100	100	18	147	147	1.51e-95	268	685
lcl|CP010426.1_prot_AJF62240.1_78	CP010426.1_1290	100	209	209	0	0	0	209	100	1	209	209	100	100	4	212	212	1.4e-150	413	1062
lcl|CP010426.1_prot_AJF62241.1_79	CP010426.1_1302	100	223	223	0	0	0	223	100	1	223	223	100	100	1	223	223	1.11e-160	440	1131
lcl|CP010426.1_prot_AJF62242.1_80	CP010426.1_1320	100	439	439	0	0	0	439	100	1	439	439	100	100	3	441	441	0	895	2312
lcl|CP010426.1_prot_AJF62243.1_81	CP010426.1_30587	100	137	137	0	0	0	137	100	1	137	137	100	100	10	146	146	1.89e-93	263	672
lcl|CP010426.1_prot_AJF62244.1_82	CP010426.1_30582	100	630	630	0	0	0	630	100	1	630	630	100	100	2	631	631	0	1256	3249
lcl|CP010426.1_prot_AJF62245.1_83	CP010426.1_1391	100	177	177	0	0	0	177	100	1	177	177	100	100	9	185	185	1.87e-127	352	903
lcl|CP010426.1_prot_AJF62246.1_84	CP010426.1_1400	100	170	170	0	0	0	170	100	1	170	170	100	100	25	194	194	8.3e-120	333	853
lcl|CP010426.1_prot_AJF62247.1_85	CP010426.1_1403	100	55	55	0	0	0	55	100	1	55	55	100	100	7	61	61	2.26e-34	107	268
lcl|CP010426.1_prot_AJF62248.1_86	CP010426.1_1420	100	485	485	0	0	0	485	100	1	485	485	100	100	1	485	485	0	983	2540
lcl|CP010426.1_prot_AJF62249.1_87	CP010426.1_1433	100	266	266	0	0	0	266	100	1	266	266	100	100	1	266	266	0	521	1341
lcl|CP010426.1_prot_AJF62250.1_88	CP010426.1_1448	100	331	331	0	0	0	331	100	1	331	331	100	100	18	348	348	0	643	1659
lcl|CP010426.1_prot_AJF62251.1_89	CP010426.1_1456	100	149	149	0	0	0	149	100	1	149	149	100	100	3	151	151	7.1e-109	303	775
lcl|CP010426.1_prot_AJF62252.1_90	CP010426.1_1469	100	160	160	0	0	0	160	100	1	160	160	100	100	2	161	161	1.44e-116	323	828
lcl|CP010426.1_prot_AJF62253.1_91	CP010426.1_1477	100	159	159	0	0	0	159	100	1	159	159	100	100	9	167	167	1.49e-116	323	828
lcl|CP010426.1_prot_AJF62254.1_92	CP010426.1_1483	100	95	95	0	0	0	95	100	1	95	95	100	100	2	96	96	1.43e-63	184	467
lcl|CP010426.1_prot_AJF62255.1_93	CP010426.1_1504	100	445	445	0	0	0	445	100	1	445	445	100	100	33	477	477	0	894	2309
lcl|CP010426.1_prot_AJF62256.1_94	CP010426.1_30381	100	158	158	0	0	0	158	100	1	158	158	100	100	1	158	158	2.02e-110	307	787
lcl|CP010426.1_prot_AJF62257.1_95	CP010426.1_30373	100	567	567	0	0	0	567	100	1	567	567	100	100	9	575	575	0	1160	3001
lcl|CP010426.1_prot_AJF62258.1_96	CP010426.1_30345	100	183	183	0	0	0	183	100	1	183	183	100	100	6	188	188	6.46e-135	371	953
lcl|CP010426.1_prot_AJF62259.1_97	CP010426.1_30335	100	100	100	0	0	0	100	100	1	100	100	100	100	1	100	100	2.64e-72	206	525
lcl|CP010426.1_prot_AJF62260.1_98	CP010426.1_30330	100	204	204	0	0	0	204	100	1	204	204	100	100	11	214	214	1.6e-150	413	1061
lcl|CP010426.1_prot_AJF62261.1_99	CP010426.1_30319	100	347	347	0	0	0	347	100	1	347	347	100	100	4	350	350	0	716	1848
lcl|CP010426.1_prot_AJF62262.1_100	CP010426.1_1626	100	181	181	0	0	0	181	100	1	181	181	100	100	1	181	181	4.56e-127	351	901
lcl|CP010426.1_prot_AJF62263.1_101	CP010426.1_1650	100	515	515	0	0	0	515	100	1	515	515	100	100	6	520	520	0	1034	2674
lcl|CP010426.1_prot_AJF62264.1_102	CP010426.1_30257	100	211	211	0	0	0	211	100	1	211	211	100	100	15	225	225	3.41e-158	433	1113
lcl|CP010426.1_prot_AJF62265.1_103	CP010426.1_1690	100	561	561	0	0	0	561	100	1	561	561	100	100	83	643	643	0	1119	2895
lcl|CP010426.1_prot_AJF62266.1_104	CP010426.1_1707	100	272	272	0	0	0	272	100	1	272	272	100	100	1	272	272	0	558	1438
lcl|CP010426.1_prot_AJF62267.1_105	CP010426.1_30196	100	202	202	0	0	0	202	100	1	202	202	100	100	35	236	236	4.69e-143	395	1014
lcl|CP010426.1_prot_AJF62268.1_106	CP010426.1_1738	100	306	306	0	0	0	306	100	1	306	306	100	100	2	307	307	0	625	1612
lcl|CP010426.1_prot_AJF62269.1_107	CP010426.1_30158	100	1012	1012	0	0	0	1012	100	1	1012	1012	100	100	3	1014	1014	0	2101	5444
lcl|CP010426.1_prot_AJF62270.1_108	CP010426.1_30102	100	32	32	0	0	0	32	100	1	32	32	100	100	1	32	32	7.48e-17	61.6	148
lcl|CP010426.1_prot_AJF62271.1_109	CP010426.1_30100	100	151	151	0	0	0	151	100	1	151	151	100	100	1	151	151	3.5e-104	291	744
lcl|CP010426.1_prot_AJF62272.1_110	CP010426.1_30087	100	189	189	0	0	0	189	100	1	189	189	100	100	29	217	217	3.9e-139	384	985
lcl|CP010426.1_prot_AJF62273.1_111	CP010426.1_1844	100	50	50	0	0	0	50	100	1	50	50	100	100	11	60	60	4.49e-30	96.7	239
lcl|CP010426.1_prot_AJF62274.1_112	CP010426.1_30068	100	136	136	0	0	0	136	100	1	136	136	100	100	5	140	140	1.28e-100	281	718
lcl|CP010426.1_prot_AJF62275.1_113	CP010426.1_30061	100	113	113	0	0	0	113	100	1	113	113	100	100	1	113	113	1.8e-77	220	561
lcl|CP010426.1_prot_AJF62276.1_114	CP010426.1_30054	100	71	71	0	0	0	71	100	1	71	71	100	100	9	79	79	2.03e-47	141	356
lcl|CP010426.1_prot_AJF62277.1_115	CP010426.1_30046	100	151	151	0	0	0	151	100	1	151	151	100	100	14	164	164	9.25e-111	308	789
lcl|CP010426.1_prot_AJF62278.1_116	CP010426.1_1893	100	53	53	0	0	0	53	100	1	53	53	100	100	1	53	53	4.81e-34	106	265
lcl|CP010426.1_prot_AJF62279.1_117	CP010426.1_1900	100	77	77	0	0	0	77	100	1	77	77	100	100	1	77	77	3.28e-53	156	395
lcl|CP010426.1_prot_AJF62280.1_118	CP010426.1_1913	100	266	266	0	0	0	266	100	1	266	266	100	100	14	279	279	0	525	1351
lcl|CP010426.1_prot_AJF62281.1_119	CP010426.1_1916	100	61	61	0	0	0	61	100	1	61	61	100	100	1	61	61	4.65e-35	109	273
lcl|CP010426.1_prot_AJF62282.1_120	CP010426.1_29999	100	283	283	0	0	0	283	100	1	283	283	100	100	11	293	293	0	570	1468
lcl|CP010426.1_prot_AJF62283.1_121	CP010426.1_1947	100	77	77	0	0	0	77	100	1	77	77	100	100	12	88	88	1.17e-52	155	392
lcl|CP010426.1_prot_AJF62284.1_122	CP010426.1_29976	100	48	48	0	0	0	48	100	1	48	48	100	100	9	56	56	3e-32	101	252
lcl|CP010426.1_prot_AJF62285.1_123	CP010426.1_1960	100	157	157	0	0	0	157	100	1	157	157	100	100	7	163	163	4.59e-112	311	798
lcl|CP010426.1_prot_AJF62286.1_124	CP010426.1_1969	100	168	168	0	0	0	168	100	1	168	168	100	100	1	168	168	4.74e-117	325	833
lcl|CP010426.1_prot_AJF62287.1_125	CP010426.1_29952	100	172	172	0	0	0	172	100	1	172	172	100	100	9	180	180	1.33e-123	342	877
lcl|CP010426.1_prot_AJF62288.1_126	CP010426.1_29943	100	138	138	0	0	0	138	100	1	138	138	100	100	4	141	141	4.44e-96	270	689
lcl|CP010426.1_prot_AJF62289.1_127	CP010426.1_29937	100	382	382	0	0	0	382	100	1	382	382	100	100	5	386	386	0	788	2036
lcl|CP010426.1_prot_AJF62290.1_128	CP010426.1_29916	100	72	72	0	0	0	72	100	1	72	72	100	100	10	81	81	3.77e-52	154	388
lcl|CP010426.1_prot_AJF62291.1_129	CP010426.1_2055	100	210	210	0	0	0	210	100	1	210	210	100	100	1	210	210	1.63e-153	421	1081
lcl|CP010426.1_prot_AJF62292.1_130	CP010426.1_2061	100	136	136	0	0	0	136	100	1	136	136	100	100	1	136	136	8.65e-98	273	699
lcl|CP010426.1_prot_AJF62293.1_131	CP010426.1_2066	100	124	124	0	0	0	124	100	1	124	124	100	100	1	124	124	3.03e-88	248	634
lcl|CP010426.1_prot_AJF62294.1_132	CP010426.1_2076	100	118	118	0	0	0	118	100	1	118	118	100	100	6	123	123	3.88e-84	238	607
lcl|CP010426.1_prot_AJF62295.1_133	CP010426.1_29863	100	66	66	0	0	0	66	100	1	66	66	100	100	26	91	91	3.55e-43	131	329
lcl|CP010426.1_prot_AJF62296.1_134	CP010426.1_29857	100	40	40	0	0	0	40	100	1	40	40	100	100	3	42	42	2.09e-24	81.3	199
lcl|CP010426.1_prot_AJF62297.1_135	CP010426.1_2102	100	351	351	0	0	0	351	100	1	351	351	100	100	11	361	361	0	708	1827
lcl|CP010426.1_prot_AJF62298.1_136	CP010426.1_29826	100	129	129	0	0	0	129	100	1	129	129	100	100	13	141	141	5.17e-93	261	668
lcl|CP010426.1_prot_AJF62299.1_137	CP010426.1_2116	100	34	34	0	0	0	34	100	1	34	34	100	100	13	46	46	1.3e-21	73.9	180
lcl|CP010426.1_prot_AJF62300.1_138	CP010426.1_2120	100	36	36	0	0	0	36	100	1	36	36	100	100	1	36	36	2.89e-22	75.5	184
lcl|CP010426.1_prot_AJF62301.1_139	CP010426.1_29806	100	962	962	0	0	0	962	100	1	962	962	100	100	60	1021	1021	0	1937	5018
lcl|CP010426.1_prot_AJF62302.1_140	CP010426.1_2197	100	193	193	0	0	0	193	100	1	193	193	100	100	9	201	201	3.45e-140	385	990
lcl|CP010426.1_prot_AJF62303.1_141	CP010426.1_29741	100	247	247	0	0	0	247	100	1	247	247	100	100	9	255	255	8.66e-177	483	1242
lcl|CP010426.1_prot_AJF62304.1_142	CP010426.1_29731	100	383	383	0	0	0	383	100	1	383	383	100	100	1	383	383	0	744	1920
lcl|CP010426.1_prot_AJF62305.1_143	CP010426.1_29710	100	53	53	0	0	0	53	100	1	53	53	100	100	1	53	53	3.08e-33	104	259
lcl|CP010426.1_prot_AJF62306.1_144	CP010426.1_29706	100	129	129	0	0	0	129	100	1	129	129	100	100	24	152	152	1.71e-91	258	659
lcl|CP010426.1_prot_AJF62307.1_145	CP010426.1_2269	100	216	216	0	0	0	216	100	1	216	216	100	100	1	216	216	1.65e-153	421	1082
lcl|CP010426.1_prot_AJF62308.1_146	CP010426.1_2285	100	368	368	0	0	0	368	100	1	368	368	100	100	14	381	381	0	733	1891
lcl|CP010426.1_prot_AJF62309.1_147	CP010426.1_2289	100	66	66	0	0	0	66	100	1	66	66	100	100	14	79	79	7.18e-43	130	326
lcl|CP010426.1_prot_AJF62310.1_148	CP010426.1_2295	100	157	157	0	0	0	157	100	1	157	157	100	100	31	187	187	9.34e-114	317	812
lcl|CP010426.1_prot_AJF62311.1_149	CP010426.1_2305	100	259	259	0	0	0	259	100	1	259	259	100	100	6	264	264	4.44e-180	492	1266
lcl|CP010426.1_prot_AJF62312.1_150	CP010426.1_2316	100	70	70	0	0	0	70	100	1	70	70	100	100	1	70	70	1.59e-47	141	356
lcl|CP010426.1_prot_AJF62313.1_151	CP010426.1_2320	100	45	45	0	0	0	45	100	1	45	45	100	100	2	46	46	8.2e-28	90.1	222
lcl|CP010426.1_prot_AJF62314.1_152	CP010426.1_2324	100	107	107	0	0	0	107	100	1	107	107	100	100	3	109	109	2.32e-70	202	514
lcl|CP010426.1_prot_AJF62315.1_153	CP010426.1_2328	100	83	83	0	0	0	83	100	1	83	83	100	100	1	83	83	5.26e-56	164	414
lcl|CP010426.1_prot_AJF62316.1_154	CP010426.1_2332	100	133	133	0	0	0	133	100	1	133	133	100	100	1	133	133	2.8e-95	267	682
lcl|CP010426.1_prot_AJF62317.1_155	CP010426.1_2342	100	178	178	0	0	0	178	100	1	178	178	100	100	42	219	219	1.64e-130	361	927
lcl|CP010426.1_prot_AJF62318.1_156	CP010426.1_2346	100	126	126	0	0	0	126	100	1	126	126	100	100	1	126	126	4.12e-91	256	653
lcl|CP010426.1_prot_AJF62319.1_157	CP010426.1_2363	100	310	310	0	0	0	310	100	1	310	310	100	100	18	327	327	0	623	1607
lcl|CP010426.1_prot_AJF62320.1_158	CP010426.1_29548	100	328	328	0	0	0	328	100	1	328	328	100	100	1	328	328	0	658	1698
lcl|CP010426.1_prot_AJF62321.1_159	CP010426.1_2409	100	499	499	0	0	0	499	100	1	499	499	100	100	5	503	503	0	1016	2628
lcl|CP010426.1_prot_AJF62322.1_160	CP010426.1_2421	100	69	69	0	0	0	69	100	1	69	69	100	100	9	77	77	1.83e-48	144	363
lcl|CP010426.1_prot_AJF62323.1_161	CP010426.1_2438	100	301	301	0	0	0	301	100	1	301	301	100	100	16	316	316	0	583	1504
lcl|CP010426.1_prot_AJF62324.1_162	CP010426.1_29457	99.55	221	222	1	0	0	222	100	1	222	222	100	100	5	226	226	8.41e-157	430	1105
lcl|CP010426.1_prot_AJF62325.1_163	CP010426.1_29445	100	402	402	0	0	0	402	100	1	402	402	100	100	3	404	404	0	797	2059
lcl|CP010426.1_prot_AJF62326.1_164	CP010426.1_29421	100	160	160	0	0	0	160	100	1	160	160	100	100	1	160	160	2.26e-114	317	813
lcl|CP010426.1_prot_AJF62327.1_165	CP010426.1_29413	100	165	165	0	0	0	165	100	1	165	165	100	100	1	165	165	2.26e-121	335	860
lcl|CP010426.1_prot_AJF62328.1_166	CP010426.1_29405	100	161	161	0	0	0	161	100	1	161	161	100	100	5	165	165	2.98e-116	322	826
lcl|CP010426.1_prot_AJF62329.1_167	CP010426.1_2544	100	138	138	0	0	0	138	100	1	138	138	100	100	1	138	138	1.97e-99	278	711
lcl|CP010426.1_prot_AJF62330.1_168	CP010426.1_29380	100	571	571	0	0	0	571	100	1	571	571	100	100	1	571	571	0	1114	2881
lcl|CP010426.1_prot_AJF62331.1_169	CP010426.1_29345	100	71	71	0	0	0	71	100	1	71	71	100	100	11	81	81	8.81e-46	137	346
lcl|CP010426.1_prot_AJF62332.1_170	CP010426.1_29338	100	64	64	0	0	0	64	100	1	64	64	100	100	42	105	105	9.18e-42	128	321
lcl|CP010426.1_prot_AJF62333.1_171	CP010426.1_29336	100	354	354	0	0	0	354	100	1	354	354	100	100	3	356	356	0	697	1798
lcl|CP010426.1_prot_AJF62334.1_172	CP010426.1_29321	100	312	312	0	0	0	312	100	1	312	312	100	100	1	312	312	0	623	1607
lcl|CP010426.1_prot_AJF62335.1_173	CP010426.1_29306	100	190	190	0	0	0	190	100	1	190	190	100	100	1	190	190	4.06e-141	387	995
lcl|CP010426.1_prot_AJF62336.1_174	CP010426.1_2679	100	294	294	0	0	0	294	100	1	294	294	100	100	2	295	295	0	598	1541
lcl|CP010426.1_prot_AJF62337.1_175	CP010426.1_29273	100	203	203	0	0	0	203	100	1	203	203	100	100	1	203	203	1.23e-145	400	1028
lcl|CP010426.1_prot_AJF62338.1_176	CP010426.1_29263	100	131	131	0	0	0	131	100	1	131	131	100	100	21	151	151	2.52e-93	263	671
lcl|CP010426.1_prot_AJF62339.1_177	CP010426.1_29256	100	107	107	0	0	0	107	100	1	107	107	100	100	1	107	107	5.16e-79	224	570
lcl|CP010426.1_prot_AJF62340.1_178	CP010426.1_29249	100	308	308	0	0	0	308	100	1	308	308	100	100	1	308	308	0	629	1622
lcl|CP010426.1_prot_AJF62341.1_179	CP010426.1_29231	100	315	315	0	0	0	315	100	1	315	315	100	100	9	323	323	0	592	1526
lcl|CP010426.1_prot_AJF62342.1_180	CP010426.1_2787	100	302	302	0	0	0	302	100	1	302	302	100	100	23	324	324	0	609	1571
lcl|CP010426.1_prot_AJF62343.1_181	CP010426.1_29180	100	43	43	0	0	0	43	100	1	43	43	100	100	1	43	43	4.88e-23	78.2	191
lcl|CP010426.1_prot_AJF62344.1_182	CP010426.1_29179	100	70	70	0	0	0	70	100	1	70	70	100	100	3	72	72	3.46e-45	135	341
