target_name	t_accession	tlen	query_name	q_accession	qlen	fullseq_evalue	fullseq_score	fullseq_bias	num_of_domain	total_hit_domains	c-evalue	i-evalue	hmm_score	hmm_bias	hmm_coord_from	hmm_coord_to	ali_coord_from	ali_coord_to	env_coord_from	env_coord_to	acc	description_of_target	aln_length	qcov
CP010426.1_19511	-	563	19511_CP010426.1_19511	-	488	9.9e-153	511.8	5.2	1	1	1.5e-156	1.4e-152	511.3	5.2	4	485	79	560	66	562	0.89	[640743 - 639055] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	481	0.985655737704918
LKMP01000007.1_672	-	479	19511_CP010426.1_19511	-	488	6e-130	436.6	8.4	1	1	1.9e-132	1.6e-128	431.9	8.4	4	487	27	477	23	478	0.87	[32639 - 34075] Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	450	0.9221311475409836
CP010426.1_19531	-	551	19531_CP010426.1_19531	-	556	6.1e-175	585.7	13.2	1	1	2.9e-179	7.1e-175	585.4	13.2	1	552	1	545	1	549	0.96	[639050 - 637398] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	544	0.9784172661870504
LKMP01000007.1_696	-	542	19531_CP010426.1_19531	-	556	2.2e-163	547.5	0.2	1	1	1.1e-167	2.7e-163	547.2	0.2	1	551	1	538	1	541	0.96	[34082 - 35707] Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	537	0.9658273381294964
CP010426.1_21986	-	409	21986_CP010426.1_21986	-	406	1.1e-107	363.2	43.9	1	1	7.6e-112	1.2e-107	363.1	43.9	6	379	11	401	1	409	0.94	[522290 - 521064] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	390	0.9605911330049262
Ga0207718_100100_2725	-	412	21986_CP010426.1_21986	-	406	8.7e-96	324	37.9	1	1	5.9e-100	9.5e-96	323.9	37.9	6	379	11	404	1	412	0.9	[2391 - 1156] (REVERSE SENSE)	393	0.9679802955665024
LKMP01000007.1_1150	-	573	2409_CP010426.1_2409	-	593	1.5e-206	690.1	0	1	1	1e-210	1.7e-206	689.9	0	8	577	6	571	1	573	0.95	[27805 - 26087] (REVERSE SENSE) Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	565	0.9527824620573356
CP010426.1_2409	-	503	2409_CP010426.1_2409	-	593	7.6e-152	509.4	1.7	1	2	3.6e-108	5.8e-104	351.3	0.9	6	361	9	352	5	356	0.93	[128381 - 129889] Archaeon GW2011_AR20 chromosome, complete genome	343	0.5784148397976391
CP010426.1_26612	-	313	26612_CP010426.1_26612	-	296	2.7e-96	325.3	3.3	1	1	1.7e-99	3e-96	325.2	3.3	3	290	5	309	1	313	0.94	[281485 - 280547] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	304	1.027027027027027
Ga0172379_10001592_339	-	345	26612_CP010426.1_26612	-	296	1.2e-85	290.4	10.1	1	1	8.5e-89	1.5e-85	290	10.1	2	289	30	335	16	343	0.91	[20272 - 21306]	305	1.0304054054054055
Ga0172377_10000119_1096	-	767	26612_CP010426.1_26612	-	296	7e-84	284.6	20.8	3	3	1.6e-63	2.8e-60	207.1	14.4	13	289	427	757	416	765	0.84	[52394 - 54694]	330	1.114864864864865
Ga0172379_10000243_2196	-	339	26612_CP010426.1_26612	-	296	1.2e-60	208.3	0	1	1	7.9e-64	1.4e-60	208.1	0	2	261	7	289	1	333	0.85	[135643 - 136659]	282	0.9527027027027027
Ga0172377_10000119_1064	-	449	26612_CP010426.1_26612	-	296	4.8e-42	147.2	8.4	1	2	2.7e-45	4.8e-42	147.2	8.4	2	247	7	278	1	366	0.72	[50932 - 52278]	271	0.9155405405405406
CP010426.1_26639	-	364	26612_CP010426.1_26612	-	296	8.3e-37	130	9.3	1	1	5.4e-40	9.8e-37	129.8	9.3	2	258	5	288	1	361	0.71	[279665 - 278574] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	283	0.956081081081081
Ga0172379_10000243_87	-	431	26612_CP010426.1_26612	-	296	3.7e-21	78.7	0	1	1	8.9e-24	1.6e-20	76.6	0	2	202	5	213	1	251	0.78	[4018 - 5310]	208	0.7027027027027027
CP010426.1_12037	-	336	26612_CP010426.1_26612	-	296	4.8e-12	48.8	7.5	2	2	4e-15	7.2e-12	48.2	5.9	4	227	66	328	59	335	0.63	[636397 - 637404] Archaeon GW2011_AR20 chromosome, complete genome	262	0.8851351351351351
CP058579_255	-	287	26612_CP010426.1_26612	-	296	1.4e-11	47.2	0	1	1	1.1e-14	1.9e-11	46.8	0	25	208	52	276	38	285	0.71	[19621 - 20481] [Halobonum sp. NJ-3-1 | 2743089.3]	224	0.7567567567567568
CP010426.1_2102	-	361	26612_CP010426.1_26612	-	296	2.2e-11	46.6	3	1	1	1.6e-14	2.9e-11	46.2	3	25	254	51	320	39	357	0.65	[112253 - 113335] Archaeon GW2011_AR20 chromosome, complete genome	269	0.9087837837837838
Ga0075122_10000557_230	-	397	26612_CP010426.1_26612	-	296	4.7e-11	45.5	14.4	1	1	3.7e-13	6.6e-10	41.7	14.4	25	269	39	354	16	395	0.62	[9760 - 10950]	315	1.0641891891891893
CP010426.1_28814	-	83	28814_CP010426.1_28814	-	83	1.6e-48	165.4	0.4	1	1	3.6e-53	1.7e-48	165.2	0.4	1	83	1	83	1	83	1	[164128 - 163880] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	82	0.9879518072289156
Ga0075122_10000557_985	-	82	28814_CP010426.1_28814	-	83	1e-45	156.4	1.7	1	1	2.3e-50	1.1e-45	156.2	1.7	4	83	1	81	1	81	0.99	[9287 - 9042] (REVERSE SENSE)	80	0.963855421686747
CP010426.1_31041	-	481	31041_CP010426.1_31041	-	483	7.5e-190	634.3	7.5	1	1	6.9e-194	8.3e-190	634.1	7.5	10	479	9	480	1	481	0.97	[53467 - 52025] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	471	0.9751552795031055
Ga0207715_100102_1268	-	556	31041_CP010426.1_31041	-	483	1.3e-176	590.6	3.8	1	1	1.3e-180	1.6e-176	590.3	3.8	10	479	71	546	45	552	0.95	[26738 - 25071] (REVERSE SENSE)	475	0.9834368530020704
LKMP01000007.1_947	-	164	33021_LKMP01000007.1_947	-	153	1e-58	199.8	0.2	1	1	3.9e-63	1.3e-58	199.6	0.2	4	148	6	160	3	164	0.91	[36600 - 36109] (REVERSE SENSE) Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	154	1.0065359477124183
CP058579_1741	-	149	33021_LKMP01000007.1_947	-	153	6e-49	168.1	0	1	1	2.2e-53	7e-49	167.9	0	5	137	5	147	3	149	0.94	[125950 - 126396] [Halobonum sp. NJ-3-1 | 2743089.3]	142	0.9281045751633987
NZ_CP071597.1_915	-	173	33021_LKMP01000007.1_947	-	153	6.3e-46	158.3	0	1	1	2.4e-50	7.7e-46	158	0	5	137	11	153	7	170	0.91	[59884 - 60402] Halovivax sp. KZCA124 chromosome 1, complete sequence	142	0.9281045751633987
DQXS01000079.1_20	-	369	33690_QNAN01000020.1_20	-	349	2.6e-165	551.9	6.5	1	1	4e-169	3e-165	551.7	6.5	1	349	4	369	4	369	0.99	[212 - 1318] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	365	1.0458452722063036
Ga0116200_10000074_20	-	369	33690_QNAN01000020.1_20	-	349	2.6e-165	551.9	6.5	1	1	4e-169	3e-165	551.7	6.5	1	349	4	369	4	369	0.99	[212 - 1318]	365	1.0458452722063036
QNAN01000020.1_20	-	369	33690_QNAN01000020.1_20	-	349	2.6e-165	551.9	6.5	1	1	4e-169	3e-165	551.7	6.5	1	349	4	369	4	369	0.99	[212 - 1318] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	365	1.0458452722063036
QMYS01000134.1_141	-	370	33690_QNAN01000020.1_20	-	349	2.2e-157	525.9	7.4	1	1	3.3e-161	2.4e-157	525.7	7.4	1	348	12	369	12	370	0.99	[4118 - 3009] (REVERSE SENSE) Candidatus Thorarchaeota archaeon isolate B59_G1 B59_Guay1_scaffold_13974, whole genome shotgun sequence	357	1.0229226361031518
DRBS01000206.1_27	-	369	33690_QNAN01000020.1_20	-	349	7.6e-157	524.1	8	1	1	1.2e-160	8.6e-157	523.9	8	1	348	12	368	12	369	0.99	[363 - 1469] TPA_asm: Candidatus Desulfofervidus auxilii isolate HyVt-233 Ga0116200_10000518, whole genome shotgun sequence	356	1.0200573065902578
DRYJ01000053.1_56	-	341	33690_QNAN01000020.1_20	-	349	1.7e-154	516.3	1.9	1	1	2.6e-158	1.9e-154	516.2	1.9	1	349	1	341	1	341	0.99	[2361 - 3383] TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	340	0.9742120343839542
Ga0065719_100268_56	-	341	33690_QNAN01000020.1_20	-	349	1.7e-154	516.3	1.9	1	1	2.6e-158	1.9e-154	516.2	1.9	1	349	1	341	1	341	0.99	[2361 - 3383]	340	0.9742120343839542
DQZJ01000063.1_26	-	363	33690_QNAN01000020.1_20	-	349	6.8e-153	511.1	4.5	1	1	1e-156	7.6e-153	510.9	4.5	1	348	18	362	18	363	0.99	[561 - 1649] TPA_asm: Candidatus Aenigmarchaeota archaeon isolate HyVt-178 Ga0116200_10020085, whole genome shotgun sequence	344	0.9856733524355301
QMWF01000152.1_82	-	271	33690_QNAN01000020.1_20	-	349	1.9e-111	374.8	3.6	1	1	2.8e-115	2.1e-111	374.6	3.6	79	348	1	270	1	271	0.98	[2894 - 2082] (REVERSE SENSE) Candidatus Geothermarchaeota archaeon isolate B85_G16 B85_Guay16_scaffold_46347, whole genome shotgun sequence	269	0.7707736389684814
Ga0078972_1006503_931	-	346	33690_QNAN01000020.1_20	-	349	9.4e-16	60.1	5.2	1	1	2.4e-19	1.8e-15	59.1	5.2	52	348	54	345	1	346	0.75	[7935 - 6898] (REVERSE SENSE)	291	0.833810888252149
DQXS01000079.1_24	-	70	33694_QNAN01000020.1_24	-	70	1.6e-51	174.6	5.2	1	1	7.2e-56	1.7e-51	174.5	5.2	1	70	1	70	1	70	1	[1367 - 1576] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	69	0.9857142857142858
Ga0116200_10000074_24	-	70	33694_QNAN01000020.1_24	-	70	1.6e-51	174.6	5.2	1	1	7.2e-56	1.7e-51	174.5	5.2	1	70	1	70	1	70	1	[1367 - 1576]	69	0.9857142857142858
QNAN01000020.1_24	-	70	33694_QNAN01000020.1_24	-	70	1.6e-51	174.6	5.2	1	1	7.2e-56	1.7e-51	174.5	5.2	1	70	1	70	1	70	1	[1367 - 1576] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	69	0.9857142857142858
DQXS01000079.1_50	-	601	33720_QNAN01000020.1_50	-	596	3e-302	1005.8	19.5	1	1	1.3e-305	3.3e-302	1005.7	19.5	13	596	4	601	1	601	0.99	[1589 - 3391] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	597	1.0016778523489933
Ga0116200_10000074_50	-	601	33720_QNAN01000020.1_50	-	596	3e-302	1005.8	19.5	1	1	1.3e-305	3.3e-302	1005.7	19.5	13	596	4	601	1	601	0.99	[1589 - 3391]	597	1.0016778523489933
QNAN01000020.1_50	-	601	33720_QNAN01000020.1_50	-	596	4.2000000000000003e-302	1005.3	19.4	1	1	1.9e-305	4.7e-302	1005.2	19.4	13	596	4	601	1	601	0.99	[1589 - 3391] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	597	1.0016778523489933
CP010426.1_17077	-	765	33720_QNAN01000020.1_50	-	596	8.1e-266	885.5	18.6	1	1	3.7e-269	9.1e-266	885.3	18.6	1	596	2	765	1	765	0.99	[771351 - 769057] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	763	1.2802013422818792
DQZJ01000063.1_58	-	539	33720_QNAN01000020.1_50	-	596	3.6e-222	741.4	7.3	1	2	7.9e-223	2e-219	732.3	4.8	1	505	4	510	4	517	0.99	[1729 - 3345] TPA_asm: Candidatus Aenigmarchaeota archaeon isolate HyVt-178 Ga0116200_10020085, whole genome shotgun sequence	506	0.8489932885906041
VEPM01000029.1_1079	-	632	33720_QNAN01000020.1_50	-	596	8.9e-64	218.3	3.4	1	1	4.6e-67	1.2e-63	217.9	3.4	4	502	14	553	11	577	0.83	[47980 - 46085] (REVERSE SENSE) Candidatus Methanoperedens sp. isolate MnB_20 Mn.Bin2_29, whole genome shotgun sequence	539	0.9043624161073825
Ga0075122_10000557_369	-	602	33720_QNAN01000020.1_50	-	596	2.5e-57	197	3	1	1	1.5e-60	3.7e-57	196.4	3	6	494	12	487	2	507	0.82	[17633 - 19438]	475	0.7969798657718121
DRBS01000206.1_58	-	634	33720_QNAN01000020.1_50	-	596	5.4e-54	186	14	1	1	3.1e-57	7.7e-54	185.4	14	27	518	51	577	13	599	0.76	[1494 - 3395] TPA_asm: Candidatus Desulfofervidus auxilii isolate HyVt-233 Ga0116200_10000518, whole genome shotgun sequence	526	0.8825503355704698
Ga0172379_10000243_1712	-	572	33720_QNAN01000020.1_50	-	596	4.6e-51	176.3	12	1	1	3.7e-54	9.1e-51	175.3	12	6	492	9	522	3	540	0.79	[104325 - 106040]	513	0.860738255033557
Ga0222667_1000160_1268	-	594	33720_QNAN01000020.1_50	-	596	1.3e-47	164.8	1.4	1	1	8.2e-51	2e-47	164.2	1.4	1	486	1	476	1	487	0.81	[17014 - 15233] (REVERSE SENSE)	475	0.7969798657718121
Ga0172379_10001592_425	-	696	33720_QNAN01000020.1_50	-	596	6.6e-40	139.4	17.3	1	1	4.2e-40	1e-36	128.9	17.2	7	502	10	520	2	551	0.76	[24841 - 26928]	510	0.8557046979865772
Ga0078972_1006503_634	-	559	33720_QNAN01000020.1_50	-	596	4.7e-39	136.6	3.9	1	1	2.4e-42	5.8e-39	136.3	3.9	4	493	10	497	8	534	0.77	[25239 - 23563] (REVERSE SENSE)	487	0.8171140939597316
Ga0172377_10000119_1194	-	703	33720_QNAN01000020.1_50	-	596	2.2e-38	134.4	17.7	1	1	1e-39	2.5e-36	127.6	17.7	135	494	130	531	4	594	0.71	[58944 - 61052]	401	0.6728187919463087
JGI12330J12834_1000008_2911	-	631	33720_QNAN01000020.1_50	-	596	7.2e-37	129.4	9.5	1	1	3.8e-40	9.4e-37	129	9.5	17	500	6	502	3	519	0.72	[6802 - 4910] (REVERSE SENSE)	496	0.8322147651006712
Ga0164313_10000250_360	-	724	33720_QNAN01000020.1_50	-	596	7.3e-37	129.4	3.2	1	1	5.3e-40	1.3e-36	128.6	3.2	27	488	38	496	13	549	0.75	[20706 - 22877]	458	0.7684563758389261
QNDS01000002.1_360	-	724	33720_QNAN01000020.1_50	-	596	7.3e-37	129.4	3.2	1	1	5.3e-40	1.3e-36	128.6	3.2	27	488	38	496	13	549	0.75	[20706 - 22877] Candidatus Fermentibacteria bacterium isolate B22_G4 B22_Guay4_scaffold_00250, whole genome shotgun sequence	458	0.7684563758389261
JNCS01000001_2656	-	674	33720_QNAN01000020.1_50	-	596	4.5e-36	126.8	6.3	1	1	2.6e-39	6.4e-36	126.3	6.3	15	483	22	521	13	574	0.74	[6823 - 4802] (REVERSE SENSE) Natrinema altunense strain AJ2 N_altunense_AJ2_contig_1, whole genome shotgun sequence.   [Natrinema altunense strain AJ2 | 222984.5]	499	0.837248322147651
JABURA010000001_409	-	640	33720_QNAN01000020.1_50	-	596	4.7e-34	120.1	3.2	1	1	2.5e-37	6.1e-34	119.7	3.2	23	493	22	511	14	549	0.78	[27237 - 29156] JABURA010000001.1 [Haloterrigena sp. SYSU A121-1 | 2496101.3]	489	0.8204697986577181
NZ_CP071597.1_529	-	617	33720_QNAN01000020.1_50	-	596	1.5e-33	118.5	0.8	1	1	1.6e-36	4.1e-33	117	0.8	30	494	23	503	4	509	0.74	[33997 - 35847] Halovivax sp. KZCA124 chromosome 1, complete sequence	480	0.8053691275167785
Ga0207718_100100_2679	-	649	33720_QNAN01000020.1_50	-	596	3.4e-33	117.3	0	1	1	1.7e-36	4.3e-33	116.9	0	27	482	23	519	9	596	0.77	[6899 - 4953] (REVERSE SENSE)	496	0.8322147651006712
Ga0208375_1000150_2954	-	644	33720_QNAN01000020.1_50	-	596	4.8e-32	113.5	19.1	1	1	2.8e-35	6.9e-32	113	19.1	2	574	13	623	12	643	0.76	[63267 - 61336] (REVERSE SENSE)	610	1.023489932885906
ATYM01000002_2219	-	653	33720_QNAN01000020.1_50	-	596	4.9e-32	113.4	2.3	1	1	2.7e-35	6.7e-32	113	2.3	28	478	20	499	10	519	0.76	[72925 - 70967] (REVERSE SENSE) Haloplanus natans DSM 17983 HALNADRAFT_scaffold1.1_C2, whole genome shotgun sequence.   [Haloplanus natans DSM 17983 | 926690.3]	479	0.8036912751677853
QMWF01000152.1_119	-	568	33720_QNAN01000020.1_50	-	596	4.1e-29	103.8	7.5	1	1	2.2e-32	5.5e-29	103.4	7.5	7	509	6	524	1	536	0.7	[1705 - 2] (REVERSE SENSE) Candidatus Geothermarchaeota archaeon isolate B85_G16 B85_Guay16_scaffold_46347, whole genome shotgun sequence	518	0.8691275167785235
Ga0075122_10000851_87	-	598	33720_QNAN01000020.1_50	-	596	2.1e-28	101.5	4.1	1	1	1.1e-31	2.7e-28	101.1	4.1	10	527	12	541	1	569	0.77	[3093 - 4886]	529	0.8875838926174496
LOEP01000012_1233	-	653	33720_QNAN01000020.1_50	-	596	1.1e-27	99.1	5.7	1	1	5.7e-31	1.4e-27	98.7	5.7	28	482	17	502	5	528	0.69	[34719 - 32761] (REVERSE SENSE) Haloferax sp. Q22 scaffold12, whole genome shotgun sequence.   [Haloferax sp. Q22 | 1526048.3]	485	0.8137583892617449
Ga0207733_100382_394	-	650	33720_QNAN01000020.1_50	-	596	2.8e-27	97.8	4.9	1	1	1.9e-30	4.8e-27	97	4.9	13	482	7	500	1	525	0.7	[25041 - 26990]	493	0.8271812080536913
Ga0207719_100190_1240	-	650	33720_QNAN01000020.1_50	-	596	4.5e-27	97.1	2.7	1	1	2.5e-30	6.3e-27	96.6	2.7	157	481	158	491	7	526	0.73	[11187 - 9238] (REVERSE SENSE)	333	0.5587248322147651
QMYS01000134.1_187	-	553	33720_QNAN01000020.1_50	-	596	5.7e-26	93.4	16.6	1	1	5.9e-29	1.5e-25	92.1	16.6	13	493	8	489	2	520	0.75	[1696 - 38] (REVERSE SENSE) Candidatus Thorarchaeota archaeon isolate B59_G1 B59_Guay1_scaffold_13974, whole genome shotgun sequence	481	0.8070469798657718
LKMP01000007.1_1269	-	596	33720_QNAN01000020.1_50	-	596	2.9e-25	91.1	4.5	1	1	1.5e-28	3.8e-25	90.7	4.5	29	494	18	514	2	560	0.78	[21415 - 19628] (REVERSE SENSE) Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	496	0.8322147651006712
CP058579_1394	-	667	33720_QNAN01000020.1_50	-	596	2.3e-24	88.1	0	1	1	1.3e-27	3.1e-24	87.7	0	9	452	21	483	17	514	0.78	[101707 - 103707] [Halobonum sp. NJ-3-1 | 2743089.3]	462	0.7751677852348994
DRYJ01000053.1_92	-	618	33720_QNAN01000020.1_50	-	596	2.1e-20	75	4.9	1	1	1e-23	2.6e-20	74.7	4.9	154	459	147	456	47	504	0.8	[3723 - 5576] TPA_asm: Candidatus Bathyarchaeota archaeon isolate SpSt-11 Ga0065719_100268, whole genome shotgun sequence	309	0.5184563758389261
Ga0065719_100268_92	-	618	33720_QNAN01000020.1_50	-	596	2.1e-20	75	4.9	1	1	1e-23	2.6e-20	74.7	4.9	154	459	147	456	47	504	0.8	[3723 - 5576]	309	0.5184563758389261
Ga0207715_100102_886	-	711	33720_QNAN01000020.1_50	-	596	5.3e-20	73.7	3.8	1	1	3.4e-23	8.3e-20	73.1	3.8	21	502	13	536	2	590	0.65	[71922 - 69790] (REVERSE SENSE)	523	0.87751677852349
CP048739_1731	-	684	33720_QNAN01000020.1_50	-	596	8.3e-17	63.2	2.1	1	1	4.6e-20	1.1e-16	62.7	2.1	50	448	61	471	10	489	0.7	[53109 - 51058] (REVERSE SENSE) [Halogeometricum borinquense strain wsp4 | 60847.21]	410	0.6879194630872483
DTWW01000349.1_28	-	612	33720_QNAN01000020.1_50	-	596	1.9e-15	58.6	0.3	1	1	1.8e-18	4.6e-15	57.4	0.3	179	507	234	585	221	591	0.72	[379 - 2214] TPA_asm: Candidatus Micrarchaeota archaeon isolate UWMA-0176 k99_2777214, whole genome shotgun sequence	351	0.5889261744966443
Ga0075120_10000694_180	-	635	33720_QNAN01000020.1_50	-	596	1.2e-14	56.1	15.3	2	2	4.8e-18	1.2e-14	56.1	15.3	182	502	232	595	187	615	0.74	[9583 - 11487]	363	0.6090604026845637
DQXS01000079.1_56	-	98	33726_QNAN01000020.1_56	-	98	2.2000000000000002e-65	219.8	2.9	1	1	7.6e-70	2.4e-65	219.7	2.9	1	98	1	98	1	98	1	[3376 - 3669] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	97	0.9897959183673469
Ga0116200_10000074_56	-	98	33726_QNAN01000020.1_56	-	98	2.2000000000000002e-65	219.8	2.9	1	1	7.6e-70	2.4e-65	219.7	2.9	1	98	1	98	1	98	1	[3376 - 3669]	97	0.9897959183673469
QNAN01000020.1_56	-	98	33726_QNAN01000020.1_56	-	98	2.2000000000000002e-65	219.8	2.9	1	1	7.6e-70	2.4e-65	219.7	2.9	1	98	1	98	1	98	1	[3376 - 3669] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	97	0.9897959183673469
DQXS01000079.1_74	-	381	33744_QNAN01000020.1_74	-	381	1.8e-278	924.8	29.5	1	1	1.9e-282	2e-278	924.7	29.5	1	381	1	381	1	381	1	[3673 - 4815] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	380	0.9973753280839895
Ga0116200_10000074_74	-	381	33744_QNAN01000020.1_74	-	381	1.8e-278	924.8	29.5	1	1	1.9e-282	2e-278	924.7	29.5	1	381	1	381	1	381	1	[3673 - 4815]	380	0.9973753280839895
QNAN01000020.1_74	-	381	33744_QNAN01000020.1_74	-	381	1.8e-278	924.8	29.5	1	1	1.9e-282	2e-278	924.7	29.5	1	381	1	381	1	381	1	[3673 - 4815] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	380	0.9973753280839895
DQXS01000079.1_87	-	252	33757_QNAN01000020.1_87	-	252	3.1e-182	605.8	6.8	1	1	2.1e-186	3.4e-182	605.7	6.8	1	252	1	252	1	252	1	[4818 - 5573] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	251	0.996031746031746
Ga0116200_10000074_87	-	252	33757_QNAN01000020.1_87	-	252	3.1e-182	605.8	6.8	1	1	2.1e-186	3.4e-182	605.7	6.8	1	252	1	252	1	252	1	[4818 - 5573]	251	0.996031746031746
QNAN01000020.1_87	-	252	33757_QNAN01000020.1_87	-	252	3.1e-182	605.8	6.8	1	1	2.1e-186	3.4e-182	605.7	6.8	1	252	1	252	1	252	1	[4818 - 5573] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	251	0.996031746031746
DQXS01000079.1_88	-	37	33758_QNAN01000020.1_88	-	37	3.6e-30	105.9	4.2	1	1	1.2e-34	3.9e-30	105.8	4.2	1	37	1	37	1	37	1	[5578 - 5688] TPA_asm: Candidatus Altiarchaeales archaeon isolate HyVt-139 Ga0116200_10000074, whole genome shotgun sequence	36	0.972972972972973
Ga0116200_10000074_88	-	37	33758_QNAN01000020.1_88	-	37	3.6e-30	105.9	4.2	1	1	1.2e-34	3.9e-30	105.8	4.2	1	37	1	37	1	37	1	[5578 - 5688]	36	0.972972972972973
QNAN01000020.1_88	-	37	33758_QNAN01000020.1_88	-	37	3.6e-30	105.9	4.2	1	1	1.2e-34	3.9e-30	105.8	4.2	1	37	1	37	1	37	1	[5578 - 5688] Thermotogae bacterium isolate B96_G9 B96_Guay9_scaffold_13443, whole genome shotgun sequence	36	0.972972972972973
