Filename	Number of sequences	Number of species
34194_QNDS01000002.1_233_expanded.faa	0	0
34439_QNDS01000002.1_478_expanded.faa	0	0
34116_QNDS01000002.1_155_expanded.faa	0	0
37934_DRYJ01000053.1_456_expanded.faa	0	0
12736_CP010426.1_12736_expanded.faa	0	0
16193_CP010426.1_16193_expanded.faa	0	0
37956_DRYJ01000053.1_478_expanded.faa	0	0
34255_QNDS01000002.1_294_expanded.faa	0	0
37946_DRYJ01000053.1_468_expanded.faa	0	0
37781_DRYJ01000053.1_303_expanded.faa	0	0
34072_QNDS01000002.1_111_expanded.faa	0	0
36588_DQXS01000079.1_317_expanded.faa	0	0
CG_12.faa	0	0
43074_NZ_CP071597.1_1847_expanded.faa	0	0
64173_Ga0075122_10000557_8_expanded.faa	0	0
34056_QNDS01000002.1_95_expanded.faa	0	0
91205_Ga0222658_1000332_72_expanded.faa	0	0
34290_QNDS01000002.1_329_expanded.faa	0	0
65220_Ga0075122_10000557_1055_expanded.faa	0	0
91289_Ga0222658_1000332_156_expanded.faa	0	0
36629_DQXS01000079.1_358_expanded.faa	0	0
39872_VEPM01000029.1_1392_expanded.faa	0	0
50275_JABURA010000001_1704_expanded.faa	0	0
33966_QNDS01000002.1_5_expanded.faa	0	0
34455_QNDS01000002.1_494_expanded.faa	0	0
91260_Ga0222658_1000332_127_expanded.faa	0	0
34085_QNDS01000002.1_124_expanded.faa	0	0
71412_Ga0172377_10000119_1015_expanded.faa	0	0
75133_Ga0172379_10000243_2138_expanded.faa	0	0
37795_DRYJ01000053.1_317_expanded.faa	0	0
91362_Ga0222658_1000332_229_expanded.faa	0	0
91277_Ga0222658_1000332_144_expanded.faa	0	0
91816_Ga0222658_1000332_683_expanded.faa	0	0
35342_QNDS01000002.1_1381_expanded.faa	0	0
34263_QNDS01000002.1_302_expanded.faa	0	0
42018_NZ_CP071597.1_791_expanded.faa	0	0
34243_QNDS01000002.1_282_expanded.faa	0	0
33690_QNAN01000020.1_20_expanded.faa	0	0
10196_CP010426.1_10196_expanded.faa	0	0
37736_DRYJ01000053.1_258_expanded.faa	0	0
85521_Ga0207719_100190_839_expanded.faa	0	0
21986_CP010426.1_21986_expanded.faa	0	0
34099_QNDS01000002.1_138_expanded.faa	0	0
37739_DRYJ01000053.1_261_expanded.faa	0	0
37606_DRYJ01000053.1_128_expanded.faa	0	0
37809_DRYJ01000053.1_331_expanded.faa	0	0
71282_Ga0172377_10000119_885_expanded.faa	0	0
36591_DQXS01000079.1_320_expanded.faa	0	0
34285_QNDS01000002.1_324_expanded.faa	0	0
34029_QNDS01000002.1_68_expanded.faa	0	0
34051_QNDS01000002.1_90_expanded.faa	0	0
71266_Ga0172377_10000119_869_expanded.faa	0	0
71288_Ga0172377_10000119_891_expanded.faa	0	0
CG_23.faa	0	0
81560_Ga0207715_100102_1072_expanded.faa	0	0
28814_CP010426.1_28814_expanded.faa	0	0
36597_DQXS01000079.1_326_expanded.faa	0	0
91292_Ga0222658_1000332_159_expanded.faa	0	0
37968_DRYJ01000053.1_490_expanded.faa	0	0
36613_DQXS01000079.1_342_expanded.faa	0	0
34669_QNDS01000002.1_708_expanded.faa	0	0
91341_Ga0222658_1000332_208_expanded.faa	0	0
65217_Ga0075122_10000557_1052_expanded.faa	0	0
35360_QNDS01000002.1_1399_expanded.faa	0	0
37540_DRYJ01000053.1_62_expanded.faa	0	0
36620_DQXS01000079.1_349_expanded.faa	0	0
37490_DRYJ01000053.1_12_expanded.faa	0	0
33694_QNAN01000020.1_24_expanded.faa	0	0
72765_Ga0172377_10000119_2368_expanded.faa	0	0
11406_CP010426.1_11406_expanded.faa	0	0
38001_DRYJ01000053.1_523_expanded.faa	0	0
36579_DQXS01000079.1_308_expanded.faa	0	0
36624_DQXS01000079.1_353_expanded.faa	0	0
37924_DRYJ01000053.1_446_expanded.faa	0	0
40171_VEPM01000029.1_1691_expanded.faa	0	0
50067_JABURA010000001_1496_expanded.faa	0	0
33781_QNAN01000020.1_111_expanded.faa	0	0
35679_QMYS01000134.1_102_expanded.faa	0	0
91266_Ga0222658_1000332_133_expanded.faa	0	0
91194_Ga0222658_1000332_61_expanded.faa	0	0
37801_DRYJ01000053.1_323_expanded.faa	0	0
91349_Ga0222658_1000332_216_expanded.faa	0	0
34034_QNDS01000002.1_73_expanded.faa	0	0
34147_QNDS01000002.1_186_expanded.faa	0	0
71319_Ga0172377_10000119_922_expanded.faa	0	0
71345_Ga0172377_10000119_948_expanded.faa	0	0
34522_QNDS01000002.1_561_expanded.faa	0	0
91305_Ga0222658_1000332_172_expanded.faa	0	0
33744_QNAN01000020.1_74_expanded.faa	0	0
37787_DRYJ01000053.1_309_expanded.faa	0	0
35352_QNDS01000002.1_1391_expanded.faa	0	0
71279_Ga0172377_10000119_882_expanded.faa	0	0
37811_DRYJ01000053.1_333_expanded.faa	0	0
CG_19.faa	0	0
34461_QNDS01000002.1_500_expanded.faa	0	0
37940_DRYJ01000053.1_462_expanded.faa	0	0
31041_CP010426.1_31041_expanded.faa	0	0
9663_CP010426.1_9663_expanded.faa	0	0
33821_QNAN01000020.1_151_expanded.faa	0	0
34221_QNDS01000002.1_260_expanded.faa	0	0
2409_CP010426.1_2409_expanded.faa	0	0
34211_QNDS01000002.1_250_expanded.faa	0	0
34259_QNDS01000002.1_298_expanded.faa	0	0
11192_CP010426.1_11192_expanded.faa	0	0
CG_8.faa	0	0
19531_CP010426.1_19531_expanded.faa	0	0
71437_Ga0172377_10000119_1040_expanded.faa	0	0
34077_QNDS01000002.1_116_expanded.faa	0	0
CG_14.faa	0	0
36583_DQXS01000079.1_312_expanded.faa	0	0
34188_QNDS01000002.1_227_expanded.faa	0	0
CG_13.faa	0	0
34515_QNDS01000002.1_554_expanded.faa	0	0
71415_Ga0172377_10000119_1018_expanded.faa	0	0
37951_DRYJ01000053.1_473_expanded.faa	0	0
34093_QNDS01000002.1_132_expanded.faa	0	0
35068_QNDS01000002.1_1107_expanded.faa	0	0
85990_Ga0207719_100190_1308_expanded.faa	0	0
36520_DQXS01000079.1_249_expanded.faa	0	0
71526_Ga0172377_10000119_1129_expanded.faa	0	0
CG_3.faa	0	0
65193_Ga0075122_10000557_1028_expanded.faa	0	0
34044_QNDS01000002.1_83_expanded.faa	0	0
64485_Ga0075122_10000557_320_expanded.faa	0	0
64190_Ga0075122_10000557_25_expanded.faa	0	0
64182_Ga0075122_10000557_17_expanded.faa	0	0
65223_Ga0075122_10000557_1058_expanded.faa	0	0
71594_Ga0172377_10000119_1197_expanded.faa	0	0
71434_Ga0172377_10000119_1037_expanded.faa	0	0
91297_Ga0222658_1000332_164_expanded.faa	0	0
37583_DRYJ01000053.1_105_expanded.faa	0	0
38326_DRYJ01000053.1_848_expanded.faa	0	0
35326_QNDS01000002.1_1365_expanded.faa	0	0
48610_JABURA010000001_39_expanded.faa	0	0
37513_DRYJ01000053.1_35_expanded.faa	0	0
37509_DRYJ01000053.1_31_expanded.faa	0	0
36425_DQXS01000079.1_154_expanded.faa	0	0
37579_DRYJ01000053.1_101_expanded.faa	0	0
91184_Ga0222658_1000332_51_expanded.faa	0	0
34729_QNDS01000002.1_768_expanded.faa	0	0
34472_QNDS01000002.1_511_expanded.faa	0	0
37806_DRYJ01000053.1_328_expanded.faa	0	0
65181_Ga0075122_10000557_1016_expanded.faa	0	0
37502_DRYJ01000053.1_24_expanded.faa	0	0
33768_QNAN01000020.1_98_expanded.faa	0	0
34047_QNDS01000002.1_86_expanded.faa	0	0
44027_NZ_CP071597.1_2800_expanded.faa	0	0
36510_DQXS01000079.1_239_expanded.faa	0	0
91345_Ga0222658_1000332_212_expanded.faa	0	0
35037_QNDS01000002.1_1076_expanded.faa	0	0
72488_Ga0172377_10000119_2091_expanded.faa	0	0
