# Assembly name:  ASM1296278v1
# Organism name:  Candidatus Micrarchaeota archaeon (archaea)
# Isolate:  UWMA-0176
# Taxid:          2250274
# BioSample:      SAMN10967517
# BioProject:     PRJNA522654
# Submitter:      University of Wisconsin-Madison
# Date:           2020-05-04
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    DTWW01
# Assembly method: SPAdes v. 3.12.0
# Expected final version: yes
# Genome coverage: 25.15x
# Sequencing technology: Illumina HiSeq 2000
# Excluded from RefSeq: derived from metagenome; fragmented assembly; genus undefined
# GenBank assembly accession: GCA_012962785.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_012962815.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
k99_1397554	unplaced-scaffold	na	na	DTWW01000067.1	<>	na	Primary Assembly	1661	na
k99_1406801	unplaced-scaffold	na	na	DTWW01000068.1	<>	na	Primary Assembly	1276	na
k99_1411651	unplaced-scaffold	na	na	DTWW01000069.1	<>	na	Primary Assembly	1002	na
k99_1412105	unplaced-scaffold	na	na	DTWW01000070.1	<>	na	Primary Assembly	1419	na
k99_1418387	unplaced-scaffold	na	na	DTWW01000071.1	<>	na	Primary Assembly	1595	na
k99_1418830	unplaced-scaffold	na	na	DTWW01000072.1	<>	na	Primary Assembly	1361	na
k99_1420987	unplaced-scaffold	na	na	DTWW01000073.1	<>	na	Primary Assembly	1217	na
k99_1428784	unplaced-scaffold	na	na	DTWW01000074.1	<>	na	Primary Assembly	1024	na
k99_1438125	unplaced-scaffold	na	na	DTWW01000075.1	<>	na	Primary Assembly	1146	na
k99_1442730	unplaced-scaffold	na	na	DTWW01000076.1	<>	na	Primary Assembly	998	na
k99_1449908	unplaced-scaffold	na	na	DTWW01000077.1	<>	na	Primary Assembly	1144	na
k99_1463381	unplaced-scaffold	na	na	DTWW01000078.1	<>	na	Primary Assembly	2219	na
k99_1464300	unplaced-scaffold	na	na	DTWW01000079.1	<>	na	Primary Assembly	1546	na
k99_1471079	unplaced-scaffold	na	na	DTWW01000080.1	<>	na	Primary Assembly	1090	na
k99_147980	unplaced-scaffold	na	na	DTWW01000081.1	<>	na	Primary Assembly	2901	na
k99_1486343	unplaced-scaffold	na	na	DTWW01000082.1	<>	na	Primary Assembly	1215	na
k99_1495279	unplaced-scaffold	na	na	DTWW01000083.1	<>	na	Primary Assembly	4673	na
k99_149634	unplaced-scaffold	na	na	DTWW01000084.1	<>	na	Primary Assembly	1162	na
k99_149974	unplaced-scaffold	na	na	DTWW01000085.1	<>	na	Primary Assembly	2237	na
k99_1506625	unplaced-scaffold	na	na	DTWW01000086.1	<>	na	Primary Assembly	2552	na
k99_1520038	unplaced-scaffold	na	na	DTWW01000087.1	<>	na	Primary Assembly	1722	na
k99_1520466	unplaced-scaffold	na	na	DTWW01000088.1	<>	na	Primary Assembly	1456	na
k99_1524468	unplaced-scaffold	na	na	DTWW01000089.1	<>	na	Primary Assembly	1234	na
k99_1525243	unplaced-scaffold	na	na	DTWW01000090.1	<>	na	Primary Assembly	1076	na
k99_1529100	unplaced-scaffold	na	na	DTWW01000091.1	<>	na	Primary Assembly	1286	na
k99_1529704	unplaced-scaffold	na	na	DTWW01000092.1	<>	na	Primary Assembly	1304	na
k99_1535053	unplaced-scaffold	na	na	DTWW01000093.1	<>	na	Primary Assembly	1253	na
k99_1539544	unplaced-scaffold	na	na	DTWW01000094.1	<>	na	Primary Assembly	1044	na
k99_1554948	unplaced-scaffold	na	na	DTWW01000095.1	<>	na	Primary Assembly	1403	na
k99_1557178	unplaced-scaffold	na	na	DTWW01000096.1	<>	na	Primary Assembly	1293	na
k99_1565880	unplaced-scaffold	na	na	DTWW01000097.1	<>	na	Primary Assembly	1186	na
k99_1570775	unplaced-scaffold	na	na	DTWW01000098.1	<>	na	Primary Assembly	1251	na
k99_1573079	unplaced-scaffold	na	na	DTWW01000099.1	<>	na	Primary Assembly	1622	na
k99_1576979	unplaced-scaffold	na	na	DTWW01000100.1	<>	na	Primary Assembly	1118	na
k99_1589205	unplaced-scaffold	na	na	DTWW01000101.1	<>	na	Primary Assembly	1647	na
k99_159360	unplaced-scaffold	na	na	DTWW01000102.1	<>	na	Primary Assembly	1617	na
k99_1593955	unplaced-scaffold	na	na	DTWW01000103.1	<>	na	Primary Assembly	1813	na
k99_1607492	unplaced-scaffold	na	na	DTWW01000104.1	<>	na	Primary Assembly	1059	na
k99_1607792	unplaced-scaffold	na	na	DTWW01000105.1	<>	na	Primary Assembly	2319	na
k99_1608875	unplaced-scaffold	na	na	DTWW01000106.1	<>	na	Primary Assembly	1499	na
k99_1616502	unplaced-scaffold	na	na	DTWW01000107.1	<>	na	Primary Assembly	1215	na
k99_1620246	unplaced-scaffold	na	na	DTWW01000108.1	<>	na	Primary Assembly	1185	na
k99_1626274	unplaced-scaffold	na	na	DTWW01000109.1	<>	na	Primary Assembly	1091	na
k99_1628266	unplaced-scaffold	na	na	DTWW01000110.1	<>	na	Primary Assembly	1438	na
k99_1629126	unplaced-scaffold	na	na	DTWW01000111.1	<>	na	Primary Assembly	1909	na
k99_1631732	unplaced-scaffold	na	na	DTWW01000112.1	<>	na	Primary Assembly	1713	na
k99_163265	unplaced-scaffold	na	na	DTWW01000113.1	<>	na	Primary Assembly	1093	na
k99_1633049	unplaced-scaffold	na	na	DTWW01000114.1	<>	na	Primary Assembly	1556	na
k99_1633724	unplaced-scaffold	na	na	DTWW01000115.1	<>	na	Primary Assembly	2507	na
k99_1642690	unplaced-scaffold	na	na	DTWW01000116.1	<>	na	Primary Assembly	1080	na
k99_1642931	unplaced-scaffold	na	na	DTWW01000117.1	<>	na	Primary Assembly	1220	na
k99_1645355	unplaced-scaffold	na	na	DTWW01000118.1	<>	na	Primary Assembly	4336	na
k99_1672608	unplaced-scaffold	na	na	DTWW01000119.1	<>	na	Primary Assembly	1601	na
k99_1673231	unplaced-scaffold	na	na	DTWW01000120.1	<>	na	Primary Assembly	1372	na
k99_1673629	unplaced-scaffold	na	na	DTWW01000121.1	<>	na	Primary Assembly	2158	na
k99_1694162	unplaced-scaffold	na	na	DTWW01000122.1	<>	na	Primary Assembly	1378	na
k99_1700953	unplaced-scaffold	na	na	DTWW01000123.1	<>	na	Primary Assembly	1158	na
k99_170145	unplaced-scaffold	na	na	DTWW01000124.1	<>	na	Primary Assembly	1649	na
k99_1702582	unplaced-scaffold	na	na	DTWW01000125.1	<>	na	Primary Assembly	1068	na
k99_1704108	unplaced-scaffold	na	na	DTWW01000126.1	<>	na	Primary Assembly	1333	na
k99_1708194	unplaced-scaffold	na	na	DTWW01000127.1	<>	na	Primary Assembly	1216	na
k99_1709388	unplaced-scaffold	na	na	DTWW01000128.1	<>	na	Primary Assembly	1194	na
k99_1720066	unplaced-scaffold	na	na	DTWW01000129.1	<>	na	Primary Assembly	1989	na
k99_1720380	unplaced-scaffold	na	na	DTWW01000130.1	<>	na	Primary Assembly	2870	na
k99_1732916	unplaced-scaffold	na	na	DTWW01000131.1	<>	na	Primary Assembly	1823	na
k99_1744066	unplaced-scaffold	na	na	DTWW01000132.1	<>	na	Primary Assembly	1597	na
k99_1744316	unplaced-scaffold	na	na	DTWW01000133.1	<>	na	Primary Assembly	1258	na
k99_1758583	unplaced-scaffold	na	na	DTWW01000134.1	<>	na	Primary Assembly	1017	na
k99_1766637	unplaced-scaffold	na	na	DTWW01000135.1	<>	na	Primary Assembly	1821	na
k99_1770538	unplaced-scaffold	na	na	DTWW01000136.1	<>	na	Primary Assembly	1176	na
k99_1775356	unplaced-scaffold	na	na	DTWW01000137.1	<>	na	Primary Assembly	1192	na
k99_1775792	unplaced-scaffold	na	na	DTWW01000138.1	<>	na	Primary Assembly	1119	na
k99_1775849	unplaced-scaffold	na	na	DTWW01000139.1	<>	na	Primary Assembly	1937	na
k99_1779189	unplaced-scaffold	na	na	DTWW01000140.1	<>	na	Primary Assembly	1104	na
k99_1781004	unplaced-scaffold	na	na	DTWW01000141.1	<>	na	Primary Assembly	2612	na
k99_1783569	unplaced-scaffold	na	na	DTWW01000142.1	<>	na	Primary Assembly	1249	na
k99_1783620	unplaced-scaffold	na	na	DTWW01000143.1	<>	na	Primary Assembly	1000	na
k99_1800320	unplaced-scaffold	na	na	DTWW01000144.1	<>	na	Primary Assembly	1112	na
k99_1813219	unplaced-scaffold	na	na	DTWW01000145.1	<>	na	Primary Assembly	1525	na
k99_1819351	unplaced-scaffold	na	na	DTWW01000146.1	<>	na	Primary Assembly	1385	na
k99_1819538	unplaced-scaffold	na	na	DTWW01000147.1	<>	na	Primary Assembly	1394	na
k99_1830447	unplaced-scaffold	na	na	DTWW01000148.1	<>	na	Primary Assembly	2025	na
k99_183482	unplaced-scaffold	na	na	DTWW01000149.1	<>	na	Primary Assembly	2600	na
k99_1838233	unplaced-scaffold	na	na	DTWW01000150.1	<>	na	Primary Assembly	1078	na
k99_1840919	unplaced-scaffold	na	na	DTWW01000151.1	<>	na	Primary Assembly	1082	na
k99_1844748	unplaced-scaffold	na	na	DTWW01000152.1	<>	na	Primary Assembly	1552	na
k99_1845392	unplaced-scaffold	na	na	DTWW01000153.1	<>	na	Primary Assembly	1099	na
k99_1845451	unplaced-scaffold	na	na	DTWW01000154.1	<>	na	Primary Assembly	1571	na
k99_1847608	unplaced-scaffold	na	na	DTWW01000155.1	<>	na	Primary Assembly	1496	na
k99_1850385	unplaced-scaffold	na	na	DTWW01000156.1	<>	na	Primary Assembly	1029	na
k99_1857360	unplaced-scaffold	na	na	DTWW01000157.1	<>	na	Primary Assembly	1678	na
k99_1857692	unplaced-scaffold	na	na	DTWW01000158.1	<>	na	Primary Assembly	1059	na
k99_1863742	unplaced-scaffold	na	na	DTWW01000159.1	<>	na	Primary Assembly	1175	na
k99_1866856	unplaced-scaffold	na	na	DTWW01000160.1	<>	na	Primary Assembly	1434	na
k99_1870551	unplaced-scaffold	na	na	DTWW01000161.1	<>	na	Primary Assembly	1400	na
k99_1872552	unplaced-scaffold	na	na	DTWW01000162.1	<>	na	Primary Assembly	1038	na
k99_1873470	unplaced-scaffold	na	na	DTWW01000163.1	<>	na	Primary Assembly	1161	na
k99_1876778	unplaced-scaffold	na	na	DTWW01000164.1	<>	na	Primary Assembly	1294	na
k99_1879744	unplaced-scaffold	na	na	DTWW01000165.1	<>	na	Primary Assembly	1241	na
k99_1893957	unplaced-scaffold	na	na	DTWW01000166.1	<>	na	Primary Assembly	1182	na
k99_1899996	unplaced-scaffold	na	na	DTWW01000167.1	<>	na	Primary Assembly	1213	na
k99_1900663	unplaced-scaffold	na	na	DTWW01000168.1	<>	na	Primary Assembly	1540	na
k99_1910465	unplaced-scaffold	na	na	DTWW01000169.1	<>	na	Primary Assembly	1582	na
k99_1916664	unplaced-scaffold	na	na	DTWW01000170.1	<>	na	Primary Assembly	1427	na
k99_1917734	unplaced-scaffold	na	na	DTWW01000171.1	<>	na	Primary Assembly	1837	na
k99_1920698	unplaced-scaffold	na	na	DTWW01000172.1	<>	na	Primary Assembly	1177	na
k99_1921014	unplaced-scaffold	na	na	DTWW01000173.1	<>	na	Primary Assembly	1111	na
k99_1925256	unplaced-scaffold	na	na	DTWW01000174.1	<>	na	Primary Assembly	1641	na
k99_1925754	unplaced-scaffold	na	na	DTWW01000175.1	<>	na	Primary Assembly	1029	na
k99_1929129	unplaced-scaffold	na	na	DTWW01000176.1	<>	na	Primary Assembly	1040	na
k99_1937637	unplaced-scaffold	na	na	DTWW01000177.1	<>	na	Primary Assembly	1488	na
k99_1949918	unplaced-scaffold	na	na	DTWW01000178.1	<>	na	Primary Assembly	1398	na
k99_1953412	unplaced-scaffold	na	na	DTWW01000179.1	<>	na	Primary Assembly	1072	na
k99_1967480	unplaced-scaffold	na	na	DTWW01000180.1	<>	na	Primary Assembly	1290	na
k99_1969790	unplaced-scaffold	na	na	DTWW01000181.1	<>	na	Primary Assembly	1489	na
k99_1977773	unplaced-scaffold	na	na	DTWW01000182.1	<>	na	Primary Assembly	1868	na
k99_197966	unplaced-scaffold	na	na	DTWW01000183.1	<>	na	Primary Assembly	1293	na
k99_1981209	unplaced-scaffold	na	na	DTWW01000184.1	<>	na	Primary Assembly	1285	na
k99_1985916	unplaced-scaffold	na	na	DTWW01000185.1	<>	na	Primary Assembly	1387	na
k99_1989823	unplaced-scaffold	na	na	DTWW01000186.1	<>	na	Primary Assembly	1337	na
k99_1991537	unplaced-scaffold	na	na	DTWW01000187.1	<>	na	Primary Assembly	1154	na
k99_1993033	unplaced-scaffold	na	na	DTWW01000188.1	<>	na	Primary Assembly	1515	na
k99_1993063	unplaced-scaffold	na	na	DTWW01000189.1	<>	na	Primary Assembly	1949	na
k99_1994105	unplaced-scaffold	na	na	DTWW01000190.1	<>	na	Primary Assembly	1297	na
k99_1996736	unplaced-scaffold	na	na	DTWW01000191.1	<>	na	Primary Assembly	1160	na
k99_2002920	unplaced-scaffold	na	na	DTWW01000192.1	<>	na	Primary Assembly	1048	na
k99_2002969	unplaced-scaffold	na	na	DTWW01000193.1	<>	na	Primary Assembly	1347	na
k99_2005208	unplaced-scaffold	na	na	DTWW01000194.1	<>	na	Primary Assembly	1358	na
k99_2009310	unplaced-scaffold	na	na	DTWW01000195.1	<>	na	Primary Assembly	1188	na
k99_2016053	unplaced-scaffold	na	na	DTWW01000196.1	<>	na	Primary Assembly	1062	na
k99_2021467	unplaced-scaffold	na	na	DTWW01000197.1	<>	na	Primary Assembly	1013	na
k99_202175	unplaced-scaffold	na	na	DTWW01000198.1	<>	na	Primary Assembly	1424	na
k99_2037801	unplaced-scaffold	na	na	DTWW01000199.1	<>	na	Primary Assembly	1850	na
k99_2046904	unplaced-scaffold	na	na	DTWW01000200.1	<>	na	Primary Assembly	1081	na
k99_2055699	unplaced-scaffold	na	na	DTWW01000201.1	<>	na	Primary Assembly	1009	na
k99_2058846	unplaced-scaffold	na	na	DTWW01000202.1	<>	na	Primary Assembly	2223	na
k99_2059444	unplaced-scaffold	na	na	DTWW01000203.1	<>	na	Primary Assembly	3837	na
k99_2060801	unplaced-scaffold	na	na	DTWW01000204.1	<>	na	Primary Assembly	1022	na
k99_206610	unplaced-scaffold	na	na	DTWW01000205.1	<>	na	Primary Assembly	1423	na
k99_2067310	unplaced-scaffold	na	na	DTWW01000206.1	<>	na	Primary Assembly	1736	na
k99_2070547	unplaced-scaffold	na	na	DTWW01000207.1	<>	na	Primary Assembly	1069	na
k99_2077733	unplaced-scaffold	na	na	DTWW01000208.1	<>	na	Primary Assembly	3733	na
k99_2088474	unplaced-scaffold	na	na	DTWW01000209.1	<>	na	Primary Assembly	1502	na
k99_2093363	unplaced-scaffold	na	na	DTWW01000210.1	<>	na	Primary Assembly	2076	na
k99_2097674	unplaced-scaffold	na	na	DTWW01000211.1	<>	na	Primary Assembly	1133	na
k99_2108414	unplaced-scaffold	na	na	DTWW01000212.1	<>	na	Primary Assembly	1499	na
k99_2110713	unplaced-scaffold	na	na	DTWW01000213.1	<>	na	Primary Assembly	3728	na
k99_2110957	unplaced-scaffold	na	na	DTWW01000214.1	<>	na	Primary Assembly	1322	na
k99_2117247	unplaced-scaffold	na	na	DTWW01000215.1	<>	na	Primary Assembly	1150	na
k99_2120613	unplaced-scaffold	na	na	DTWW01000216.1	<>	na	Primary Assembly	1210	na
k99_2129772	unplaced-scaffold	na	na	DTWW01000217.1	<>	na	Primary Assembly	1197	na
k99_2132777	unplaced-scaffold	na	na	DTWW01000218.1	<>	na	Primary Assembly	2177	na
k99_2139492	unplaced-scaffold	na	na	DTWW01000219.1	<>	na	Primary Assembly	1299	na
k99_2142271	unplaced-scaffold	na	na	DTWW01000220.1	<>	na	Primary Assembly	1159	na
k99_2145057	unplaced-scaffold	na	na	DTWW01000221.1	<>	na	Primary Assembly	1206	na
k99_2147463	unplaced-scaffold	na	na	DTWW01000222.1	<>	na	Primary Assembly	1449	na
k99_2155546	unplaced-scaffold	na	na	DTWW01000223.1	<>	na	Primary Assembly	1006	na
k99_2156466	unplaced-scaffold	na	na	DTWW01000224.1	<>	na	Primary Assembly	1099	na
k99_2158330	unplaced-scaffold	na	na	DTWW01000225.1	<>	na	Primary Assembly	1306	na
k99_2161699	unplaced-scaffold	na	na	DTWW01000226.1	<>	na	Primary Assembly	1363	na
k99_2161936	unplaced-scaffold	na	na	DTWW01000227.1	<>	na	Primary Assembly	1213	na
k99_2162663	unplaced-scaffold	na	na	DTWW01000228.1	<>	na	Primary Assembly	1751	na
k99_21630	unplaced-scaffold	na	na	DTWW01000229.1	<>	na	Primary Assembly	2008	na
k99_216315	unplaced-scaffold	na	na	DTWW01000230.1	<>	na	Primary Assembly	1120	na
k99_2166869	unplaced-scaffold	na	na	DTWW01000231.1	<>	na	Primary Assembly	1576	na
k99_2169042	unplaced-scaffold	na	na	DTWW01000232.1	<>	na	Primary Assembly	1195	na
k99_2171295	unplaced-scaffold	na	na	DTWW01000233.1	<>	na	Primary Assembly	1810	na
k99_217383	unplaced-scaffold	na	na	DTWW01000234.1	<>	na	Primary Assembly	3545	na
k99_217503	unplaced-scaffold	na	na	DTWW01000235.1	<>	na	Primary Assembly	1077	na
k99_2185177	unplaced-scaffold	na	na	DTWW01000236.1	<>	na	Primary Assembly	1031	na
k99_2187303	unplaced-scaffold	na	na	DTWW01000237.1	<>	na	Primary Assembly	1813	na
k99_2188321	unplaced-scaffold	na	na	DTWW01000238.1	<>	na	Primary Assembly	1383	na
k99_2188737	unplaced-scaffold	na	na	DTWW01000239.1	<>	na	Primary Assembly	1772	na
k99_2212569	unplaced-scaffold	na	na	DTWW01000240.1	<>	na	Primary Assembly	1914	na
k99_2213736	unplaced-scaffold	na	na	DTWW01000241.1	<>	na	Primary Assembly	1460	na
k99_2214888	unplaced-scaffold	na	na	DTWW01000242.1	<>	na	Primary Assembly	1329	na
k99_2221161	unplaced-scaffold	na	na	DTWW01000243.1	<>	na	Primary Assembly	1276	na
k99_2228703	unplaced-scaffold	na	na	DTWW01000244.1	<>	na	Primary Assembly	1498	na
k99_2234892	unplaced-scaffold	na	na	DTWW01000245.1	<>	na	Primary Assembly	1520	na
k99_2249623	unplaced-scaffold	na	na	DTWW01000246.1	<>	na	Primary Assembly	1127	na
k99_2252896	unplaced-scaffold	na	na	DTWW01000247.1	<>	na	Primary Assembly	1231	na
k99_2256158	unplaced-scaffold	na	na	DTWW01000248.1	<>	na	Primary Assembly	1116	na
k99_2258907	unplaced-scaffold	na	na	DTWW01000249.1	<>	na	Primary Assembly	1437	na
k99_2261446	unplaced-scaffold	na	na	DTWW01000250.1	<>	na	Primary Assembly	1359	na
k99_2275119	unplaced-scaffold	na	na	DTWW01000251.1	<>	na	Primary Assembly	1949	na
k99_2280792	unplaced-scaffold	na	na	DTWW01000252.1	<>	na	Primary Assembly	1174	na
k99_2299788	unplaced-scaffold	na	na	DTWW01000253.1	<>	na	Primary Assembly	1362	na
k99_2302914	unplaced-scaffold	na	na	DTWW01000254.1	<>	na	Primary Assembly	1352	na
k99_2312187	unplaced-scaffold	na	na	DTWW01000255.1	<>	na	Primary Assembly	1547	na
k99_2313763	unplaced-scaffold	na	na	DTWW01000256.1	<>	na	Primary Assembly	1159	na
k99_2314484	unplaced-scaffold	na	na	DTWW01000257.1	<>	na	Primary Assembly	1095	na
k99_2315564	unplaced-scaffold	na	na	DTWW01000258.1	<>	na	Primary Assembly	2396	na
k99_2317206	unplaced-scaffold	na	na	DTWW01000259.1	<>	na	Primary Assembly	1827	na
k99_2322927	unplaced-scaffold	na	na	DTWW01000260.1	<>	na	Primary Assembly	1325	na
k99_2323529	unplaced-scaffold	na	na	DTWW01000261.1	<>	na	Primary Assembly	2077	na
k99_2325142	unplaced-scaffold	na	na	DTWW01000262.1	<>	na	Primary Assembly	1709	na
k99_2338464	unplaced-scaffold	na	na	DTWW01000263.1	<>	na	Primary Assembly	1061	na
